initiation,始動
aesthetic,(芸術の)美の
formulation,公式化
triumphant,勝ち誇った
diversion,気晴らし
hinge,蝶番(ちょうつがい)
questionnaire,アンケート
displeasure,不満
sensuous,感覚的な
interactive,相互に作用する
trio,トリオ
extravagant,無駄遣いをする
dandelion,【植物】タンポポ
charcoal,木炭
hesitant,ちゅうちょする
literate,識字能力のある
likeness,類似
trigger,引き金
tilt,を傾ける
scarcity,まれなこと
presenter,贈り物をする人
marginal,取るに足りない
supposedly,推定するところでは
exceptionally,例外的に
reformation,改善
ignition,点火
sneer,あざ笑う
dignify,に威厳をつける
strangle,(のどを)締めつける
bum,怠け者
metric,メートルの
narrowly,かろうじて
faintly,かすかに
aristocracy,貴族政治
submerge,水中に入れる
immigration,(国内への)移住
hereditary,遺伝的な
inaccurate,不正確な
inject,に注射する
nourishment,栄養状態
unreliable,信頼できない
liberation,解放
stroll,(～を)ぶらつく
workplace,職場
transcript,写し
cubic,3次方程式
dictator,独裁者
millennium,千年
sneak,こそこそすること
waltz,楽々とやってのける
conspicuous,人目につく
unforgettable,忘れられない
anatomy,解剖
immortality,不死
intolerable,耐えられない
obscurity,薄暗がり
incorporated,《米》法人組織の
pending,差し迫った
contributor,寄付者
mound,土塁
online,オンラインの
disposable,使い捨てにできる
inconsistent,矛盾した
integrity,正直
unborn,将来の
clench,くいしばる
mobility,流動性
superficial,うわべだけの
dice,1
juvenile,少年少女(向き)の
blackmail,脅迫
etiquette,エチケット
joyous,とてもうれしい
restricted,公にされない
tar,タール
invaluable,はかりしれない
ineffective,効果のない
checklist,照合表
northward,北に向かって
unfriendly,友情のない
poach,熱湯に落として煮る
hurrah,万歳
emphatically,強調して
endanger,危うくする
philosophical,理性的な
hybrid,混成語
countenance,に暗に賛成する
discontinue,廃止する
embroider,にししゅうする
cleanser,洗剤
sicken,吐き気がする
forestry,林学
finite,限定された
centigrade,セ氏温度計
permanence,永久
imbalance,不均衡
audit,(帳簿など)を検査する
shrewd,抜け目がない
intricate,複雑な
abnormality,異常(性)
upgrade,上り坂
spine,脊柱
shareholder,株主
starlight,星あかりの
buttonhole,ボタン穴
delete,削除する
domination,支配
aboriginal,土着の
sticker,ステッカー
temperament,性格
brace,引き締める
stationary,動かない
brink,瀬戸際
aviation,航空術
melodrama,【映画】メロドラマ
locally,局所的に
implied,言外の
rouge,ルージュ
shameless,恥知らずな
unreal,実存しない
arbitrary,専制的な
breach,絶交
runway,滑走路
impulsive,推進力のある
pavilion,大型テント
strategic,戦略上の
alpha,アルファAlpha
unbroken,不屈の
birthrate,出生率
proficiency,熟達
recede,返還する
commentary,注釈書
hoop,帯鋼
scan,～を細かく調べる
fellowship,友情
aerial,【車】《英》アンテナ
sufficiently,十分に
gender,【文法】(文法上の)性
occupational,職業の
elimination,削除
cancellation,取り消し
resignation,あきらめ
sensor,センサー
reduced,縮小した
genuinely,誠実に
mow,刈る
persecution,迫害
sterile,実のならない
fullness,充満
marketable,市場向きの
frantic,気違いじみた
enterprising,積極的な
overdo,やり過ぎる
sniff,匂いを嗅ぐ
colonize,植民する
gulp,盲信する
grader,等級づけをする人
voucher,領収書
pleasantly,楽しく
vent,(気体の)出入り口
attainment,到達
ascribe,のせいにする
negligent,怠慢な
governing,統治する
radiator,ラジエーター
meaningful,意味のある
bully,ごろつき
bass,ベース
sideboard,食器だな
persistence,固執
entangle,もつれさせる
abound,沢山いる
transparency,透明度
oppressive,圧制的な
footlight,
literal,誤植
superstitious,迷信的な
investigator,調査員
anti,反対者
badge,バッジ
ascertain,突止める
hangover,二日酔い
locality,産地
testament,契約
bewilder,まごつかせる
elegance,優雅
archaic,古風な
disciplined,規律のきびしい
parable,たとえ話
prairie,プレイリー
smack,強くたたく
jurisdiction,支配権
implicit,絶対の
dumping,(ごみなどの)投げ捨て
rotate,回転する
exotic,異国(風)の
coherent,首尾一貫した
conspire,協力して行う
curved,湾曲した
designing,腹黒い
inscription,銘
ancestral,祖先の
retailer,小売業者
devastate,荒らす
affirmative,断定的
innkeeper,宿屋の主人
clone,無性的に繁殖させる
disdain,軽視する
bishop,ビショップ
judicial,裁判の
nightfall,たそがれ
detached,離れた
agonize,苦しみもだえる
apparel,衣服
immoral,不道徳な
passerby,通行人
cram,詰め込み
mob,群衆
keenly,熱心に
reminiscent,追憶にひたる
entrepreneur,《仏語》企業家
unfinished,未完成の
faction,派閥
planter,栽培者
gymnasium,体育館
escalate,急上昇する
ivy,【植物】ツタ
operational,使用できる
electoral,選挙人の
problematic,問題のあった
vulnerable,傷つきやすい
proportional,比例した
rye,【植物】ライムギ
bumper,【車】バンパー
adapter,アダプター
absorbing,夢中にさせる
computerize,コンピュータ化する
spacious,広い範囲の
finished,完成した
slash,深く切る
screening,適格審査
lust,切望する
foil,くじく
cruelly,残酷に
festive,お祝いの
tribal,部族の
fillet,首下の丸み
shelve,～を棚上げする
amused,おもしろがっている
parachute,落下傘
avocado,植物アボカド
standardize,標準化する
irrational,不合理な
incomprehensible,理解できない
biographer,伝記作家
disobedience,不服従
slump,スランプ
generalize,一般的に扱う
arrogance,傲慢
takeover,接収
reconstruct,再構成する
disinterested,私欲のない
arc,弧
wasp,スズメバチ
southward,南へ(の)
prestigious,誉れの高い
gut,体から衝動的に出てくる
medication,薬物(療法(処理
downhill,下の方へ
terrifying,非常に恐ろしい
leafy,葉に覆われた
persecute,迫害する
posture,状態
legendary,伝説集
pest,厄介な人[物]
balanced,平均のとれた
negligible,とるに足らない
processor,プロセッサ
snort,荒い鼻息
sprawl,ばらばらに広がる
arise,発生する
creed,信念
yearn,あこがれる
adolescent,青春期の
infancy,幼年時代
stature,身長 卓越
unending,いつまでも続く
discriminate,差別する
fragrance,芳香
divinity,神性
spa,湯治場
integrated,(人格が)統合した
preacher,説教者
orientation,適応指導
acknowledgment,承認
retailer,小売業者
majestic,壮厳な
zoom,早く動く
waterfront,海岸の土地
freelance,フリーランサー
mockery,あざ笑い
litter,散乱したもの
uneven,平坦でない
confinement,限ること
ozone,化学オゾン
pragmatic,実用主義の
heavyweight,[bdomadal] 目方の重い
donor,寄贈者
shellfish,貝
emphatic,断固たる
dissolution,分離
serene,静穏な
shudder,震える
interface,接点
calling,使命
mobile,移動できる
jingle,チリンチリンという音
decency,礼儀正しいこと
encouraging,勇気づける
galaxy,(銀河系外の)星雲
manpower,人的資源
cruiser,クルーザー
statute,法令
composite,混成の
scant,乏しい
botany,植物学
redesign,…を設計し直す
quiver,おののく
inferiority,劣等
demo,実演
demon,悪魔
unsafe,安全でない
impeachment,避難
vibration,心の動揺
meddle,干渉する
minimize,最小限にする
mediate,調停する
potentiality,可能性
aging,時効
informative,知識を与える
casino,《伊》カジノ
moth,【虫】ガ
hysterical,ヒステリーの
commentator,解説者
analogy,類似
epidemic,思想のはやり
shipment,積荷
assault,攻撃
confirmed,確かめられた
purposely,わざと
memorable,記憶すべき
invader,侵入者
nationwide,全国的な(に)
suburban,偏狭な
transplant,移植
recreate,気晴しをさせる
trench,にみぞを掘る
assorted,さまざまな種類の
groundwork,土台
governmental,政治の
discern,目ではっきり認める
tug,(急に)ぐいと引く
motto,モットー
stammer,どもる
waterway,排水溝
enroll,登録する
obscene,わいせつな
placement,置くこと
habitually,習慣的に
conscientious,良心的な
consolidation,整理
disrupt,分裂させる
refill,(飲食物の)おかわり
merciless,無慈悲な
pastoral,羊飼いの
undisturbed,じゃまされない
resentful,憤慨している
shoreline,海岸線(coastline)
propel,を推進する
mint,造幣局
crushing,粉砕
postgraduate,大学院生
uproot,追い立てる
disability,障害
literacy,教育のあること
lookout,見張り(番)
jellyfish,【魚】クラゲ
nationalistic,国家主義的な
premium,割増価格
trailer,トレーラー
equity,公平
horrify,～をぞっとさせる
offset,オフセット
recital,リサイタル
designate,指定する
brownie,ブラウニー
casualty,不慮の事故
humiliate,恥をかかせる
dynamics,力学
profoundly,心から
conflicting,矛盾する
disabled,不具になった
humiliation,屈辱
recount,数え直す
laptop,ラップトップ(の)
veteran,老練者
alternatively,二者択一的に
industrialize,産業化する
homeland,母国
analytical,分解の
warp,(織物の)縦糸
eyewitness,目撃者
siren,【神話】サイレン
goodwill,営業権
numeral,卒業年度の数字
warehouse,保税倉庫に預ける
batter,【野球】バッター
expel,害虫を駆除する
bewilderment,当惑
uplift,持ち上げる
authentic,信頼できる
allegedly,伝えるところによると
horrified,すごい恐怖を表す
mum,無言の
integration,統合
mastery,支配力
distraction,精神錯乱
missionary,伝道の(者)の
materialize,実現する
deprivation,剥奪すること
unfit,適当でない
constraint,強制
platinum,(色)プラチナ(色)
decorative,飾りになる
striped,縞模様の
bail,保釈
underlie,～の基礎になる
intruder,侵略者
dramatist,劇作家
mar,傷つける
extinguish,生物を絶滅させる
adhere,執着する
rivalry,競争
durable,耐久力のある
mop,モップ
intervene,邪魔にはいる
mutually,相互に
sovereign,主権者
displacement,転置
gale,【気象】強風
integrate,統合する
integral,完全な
charitable,慈悲深い
stamina,スタミナ
query,疑う
compile,一つにまとめる
interchange,置き換える
ranger,森林警備官
vomit,嘔吐する
individuality,個性
conceit,自負心
bearing,方向
afflict,苦しめる
fanciful,想像力に富む
eloquence,雄弁
humidity,【気象】湿度
congregation,集会
harassment,悩ます[悩まされる]こと
serial,(番号などが)連続的な
descriptive,記述的な
eyeball,眼球
tow,(ロープによる)牽引
ironic,皮肉の好きな
chirp,チッチッと鳴く
custody,拘留
novelty,目先の変わった商品
mesh,網目
magistrate,行政長官
considerate,思いやりのある
craze,～の気を狂わせる
relic,記念物
depict,描写する
slaughter,徹底的に負かす
secrecy,秘密性
advocate,主張者
frail,こわれやすい
illiterate,読み書きのできない
coeducation,男女共学
observance,遵守
appreciative,鑑賞眼のある
unconditional,無条件の
involuntary,いやいやながらの
pretension,気取ること
habitat,生息地
plaintiff,法律原告
organizational,組織化に関する
swirl,旋回させる
cockpit,操縦室
fading,
disregard,無視する
urgency,緊急
legacy,遺産
eccentricity,風変わり
ongoing,継続している
inflexible,確固たる
lurk,こそこそする
stimulation,刺激
fragile,壊れやすい
extinct,希望が絶たれている
trademark,商標
documentation,書類の作成
consolidate,強固にする
cleverly,うまいこと
interact,相互に作用[交流]する
syndicate,シンジケート
compatible,適合する
recognizable,認識された
amid,に囲まれて
brood,じっと考え込む
buckle,バックル
traverse,横断
illustrated,
dedication,献身すること
sanity,正気
cloudless,一点の雲もない
unfavorable,都合の悪い
indulgent,気ままにさせる
trot,速歩で行く
unsuspecting,怪しまない
liberate,自由にする
bribery,贈収賄
underestimate,過小評価する
accumulation,集積
reactor,(陽性)反応を示す人
prosecution,起訴
substantially,しっかりと
barren,不毛の
dough,練り粉
commute,振り替える
driven,運転した
dispense,分け与える
dramatize,脚色する
realist,現実主義者
duly,正式に
worsen,(さらに)悪くなる
decimal,10進法の
prosecutor,起訴者
rarity,まれなこと
versus,(訴訟?競技で)～対(たい)～
unequal,等しくない
solemn,いかめしい
imagery,イメージ
clarity,明瞭
disobey,に従わない
reinforcement,補強
feminism,フェミニズム
harmonize,調和させる
addiction,熱中すること
farmyard,農家の庭
ecstasy,こうこつ
exalt,昇進させる
crater,クレーター
overlap,一部重ね合わせる
gloom,薄暗くなる
babble,(小川の)せせらぎの音
quilt,掛け布団
paraphrase,説明
mischievous,いたずらな
indulgence,ふけること
analog,アナログ
advisable,当を得た
absorption,吸収(作用)
cramp,束縛する かすがい
landmark,画期的な出来事
unethical,非倫理的な
cursed,呪われた
discontent,不満な
nightly,夜な夜なの
chord,感情
condominium,分譲アパート
deserved,功罪に応じた
eel,【魚】ウナギ
analytic,分析的な
migrate,移住する
lyric,竪琴の伴奏にあわせた
wicket,くぐり戸
persecute,迫害する
dummy,モデル台
reliance,頼りになる人
movable,動く
substitution,置き換え
endorse,支持する
mystical,神話的な
layout,並べること
filmmaker,
shove,(～を強く)押す
gauge,測る
humanism,人道主義
childcare,保育
lesser,より重要でない(方)
critique,批評
spouse,配偶者
affectionately,愛情をこめて
merge,合併する
enlightenment,【仏教】悟り
subconscious,潜在意識(の)
hierarchy,ヒエラルキー
windmill,風車
module,測定基準
disruption,分裂
testimony,【法律】(宣誓)証言
migration,移住
honorary,名誉上の
kinship,親類関係
reconsider,再審議する
theorist,理論家
hitch,ぐいとうごかすこと
authoritative,権威ある
introductory,紹介の
dodge,さっと身をかわす
impersonal,非人格的な
predictable,予報し得る
relevance,関連(性)
generalization,一般化すること
gush,ほとばしり出る
licensed,公に許可された
rusty,錆びた
ripple,波紋ができる
radiation,放射線
compress,圧迫包帯
exhaustive,徹底的な
stabilize,固定させる
annoyed,(～に)困って
captivity,捕われの身
breakup,解散
attic,屋根裏
endow,に与える
shrill,鋭い音を出す
hostage,人質 宿泊所 抵当
consistency,一貫性
perseverance,忍耐(力)
skid,横滑り
enduring,長続きする
estimation,見積
portfolio,折り鞄
fertilizer,肥料
sophistication,高度の知識
raft,いかだ
pretentious,うぬぼれた
pharmacy,製薬学
ecologist,生態学者
discredit,の信用を落とす
desktop,卓上用の
incoming,外から入ってくる
ambiguous,あいまいな
prickly,とげだらけの
trait,特性
cleanup,掃除
bulky,かさばった
eternity,永遠
coincidence,偶然の一致(出合い)
novice,初心者
crusade,改革に加わる
accelerate,の速度を速める
underlying,内在する
encyclopedia,百科事典
marmalade,マーマレード
reformer,改質装置
paradoxical,逆説的な
delta,デルタ
preventive,予防する
gourmet,鑑識力のある人
settler,入植者
baron,男爵
crooked,屈曲した
quota,割当量
lunatic,精神異常者の
celebrity,有名人
paddle,かいで漕ぐ
speculate,思索する
incomplete,不完全な
contented,満足した
merger,合併
wandering,曲がりくねった
filthy,不潔な
materialism,唯物論
sociable,社交的な
vegetarian,菜食主義者
rave,夢中になって話す
therapist,療法士
imprint,強く印象づける
conclusive,結論的な
explanatory,解説の
agitation,動揺
intrusion,押しつけ
biographical,biographic
plea,嘆願
dilemma,板ばさみ
prologue,プロローグ
immigrate,移住する
exploitation,活用
specialty,専門
mammoth,【動物】マンモス
perilous,危険の多い
inhibit,することを禁ずる
pickpocket,すり
godfather,教父
notify,発表する
retort,反論する
wrapper,カバー
scenic,景色の
unwanted,要求されない
smuggle,(～を)密輸する
corresponding,一致する
immerse,没頭させる
necktie,絞首づな
tickle,くすぐったい感じ
batch,一揃い
courtyard,中庭
misleading,人を誤らせる
buffalo,【動物】野牛
parental,親の
quarterly,年4回の
spotlight,スポットライト
wrongdoing,悪事
notably,明白に
trout,【魚】マス
festivity,祭典
carnival,カーニバル
reddish,赤みを帯びた
cookery,料理法
emit,出す
eruption,噴火
victimize,犠牲にする
unsettled,落ち着かない
thrift,倹約
par,同等
anguish,激しい苦しみ
narrator,ナレーター
hose,ホース
estimated,
redundant,余分の
drawback,戻し税
symbolism,象徴主義
readiness,素早さ
aspire,熱望する
presidency,presidentの職
assassinate,暗殺する
clerical,聖職者の
contagious,移りやすい
deodorant,脱臭剤
lunar,月の影響による
endowment,基金
idealism,理想を抱くこと
fertility,肥沃
practitioner,開業医師
privatize,民営化する
potentially,潜在的に
favored,恵まれた
emigration,(国外への)移住
facilitate,容易にする
allocate,配分する
dagger,(両刃の)短剣
disciplinary,訓練上の
filling,注入
limousine,リムジン
delicacy,おいしいもの
lodger,下宿人
brew,醸造する
ecological,生態学の[的な]
cosmopolitan,世界主義の
array,盛装させる
ostrich,【鳥】だ鳥
discretion,行動の自由
warship,軍艦
guru,ヒンズー教の導師
lender,貸手
revision,改訂
slum,スラム街
suffice,満足させる
adolescence,青春期
wag,振る
prehistoric,有史以前の
dynamite,ダイナマイト
workaholic,仕事中毒の(人)
suspiciously,けげんそうに
terrorism,テロリズム
manifestation,発現
friendliness,友好的であること
bungalow,バンガロー
resolute,堅く決心した
turnip,カブ
landowner,土地所有者
fad,一時的流行
congressional,議会の
supervisor,指揮者
screwdriver,ネジまわし
weaver,はた織り
prophecy,予言的能力
comma,カンマ
hypocrisy,偽善
adverse,不利な
alleged,申し立てられた
disillusion,幻滅
periodical,定期刊行出版物
segment,～を分割する
streak,筋をつける
conserve,保存する
broker,ブローカー
