ruler,主権者
burn,～を焼く
beach,岸べ 浜に乗り上げさせる
noble,堂々とした
adventure,冒険
except,除外する
claim,(～の権利を)主張する
poison,毒
habit,習慣
agree,同感である
cleaning,掃除
designer,デザイナー
rather,どちらかといえば
foolish,ばかな
century,世紀
attend,気をつける
pin,ピン
notice,に注意する
gate,門に似た狭い通路
powder,パウダー
valuable,価値のある
pole,棒
demand,要求
twentieth,二十番目の
energy,エネルギー
wealth,豊富
onion,【植物】玉葱
lock,【車】ロック
court,裁判所
assist,列席する
pain,痛み
absent,ぼんやりした
exactly,きっちり
oven,オーブン
actual,事実上の
tight,(関係などが)密接な
difficulty,困難
luck,めぐり合わせ
pleased,満足した
crash,(人の家に押しかけて)泊まる
hunt,捜索する
bar,ふさぐ
report,出頭する
fifteenth,15の
hate,することをいやがる
depend,懸案になっている
pleasant,心地よい
flight,フライト
agent,旅行業者
include,包含する
movement,動き
firm,(名)会社
boil,煮えくり返る
pupil,生徒
comfort,体を楽にする
flag,旗で信号する
tire,《米》【車】タイヤ ～を疲れさせる
total,(車が)全壊する
roll,回転する
dentist,歯科医
pajamas,パジャマ
spell,正しく書く
smooth,滑らかになる
leader,先導者
central,中央の
sentence,宣告
bean,豆
actually,現実に
realize,(明確に)理解する
sunset,夕焼け(空)
downtown,下町
cost,高くつく
thinking,思考力のある
peanut,ピーナッツ
champion,支持する(stand up for)
figure,図で表す
curve,カーブ
grand,威厳のある
violet,【植物】スミレ
hide,秘密にする
hey,ちょっと
own,(動)所有する
colorful,色彩ゆたかな
educate,教育する
trade,取引する
steak,ステーキ
role,役目
blanket,包括的な
uniform,均一にする 一様な
owe,に借りがある
stage,ステージ
tail,尾
granddaughter,孫娘
angel,天使
friendship,友情
remain,残る
crown,栄誉
youth,若者
weigh,計量を受ける
cigarette,巻きタバコ
surprised,驚いた
brain,中枢部
cage,骨組み
bit,ビット
wool,羊毛
truck,貨物自動車
railway,鉄道
band,音楽隊
forward,前方へ
noisy,やかましい
zero,ゼロ
polish,ポーランドの
cooking,料理
depth,知識の深さ
reason,理由
formal,公式の
copy,(本などの)部
willing,喜んでいる
ninth,第9番目の
responsible,信用のおける
itself,それ自身
comfortable,気持ちのよい
prize,獲物 賞
subject,従属している
fortieth,40分の1
wing,翼
awake,目覚めさせる
inform,に知らせる
straw,わら製の
intend,意図する
nut,木の実をひらう ナット
royal,国王の
university,大学
skate,(アイス)スケートをする
gorilla,【動物】ゴリラ
reasonable,道理をわきまえた
army,軍隊
dare,敢然と立ち向かう
eighteenth,第18の
education,素養
boyfriend,ボーイフレンド
serve,に仕える
thought,考えること
thirtieth,三十番目の
recently,最近
runner,密輸業者
drown,ずぶ濡れになる
collect,得る
waste,浪費する
metal,金属
arrange,取り計らう
defend,防衛する
prepare,覚悟させる
painter,画家
stuff,材料
protect,保護する
thirteenth,第13の
announce,発表する
stair,階段の
prove,であることがわかる
ant,【虫】アリ
boring,退屈な
score,スコア
design,デザイン(する)
difference,不和
shore,海岸
lovely,うっとりするほど
dig,掘り抜く
bush,未開墾地
solid,固体の
plenty,たくさん
tenth,第10の
medal,メダル
cream,クリーム
waiter,ウエイター
slide,すべらせる
behave,振る舞う
worth,～の価値[値打ち]がある
cherry,桜
load,装填(する)
support,～を扶養する
automobile,自動車
musical,音楽の
practical,実際的な
swan,きわだって美しい人
package,荷造りした一包
pardon,許す
earring,イヤリング
manner,方法
brilliant,きらきら輝く
servant,使用人
suffer,経験する
theater,劇場
silk,絹(の衣服)
tear,涙で溢れる (通例-s)涙
sailor,船員
warning,予告
plate,金属メッキ製品
intelligent,知的な
creation,創作物
sauce,面白味
favor,に好意を寄せる
attention,心遣い
fiftieth,50の
separate,切り離す
knock,ノッキングの音
lack,～がない
breath,生命
motor,モーター
model,模型
seller,売れるもの
stick,～に突き刺す
importance,重要
teenager,ティーンエイジャー
quiz,質問する 簡単な試験
following,の直後に
backward,遅れている
bookstore,書店
error,誤り
envelope,包装材料
capital,首都 資本(金)
businessman,ビジネスマン
society,団体
complain,不満をもらす
proper,適当な
toothbrush,歯ブラシ
fair,偏見のない
homeroom,ホームルーム
teenage,
cab,タクシーCAB
gentle,おとなしい
toothpaste,練り歯磨き
polite,礼儀正しい
cash,現金にかえる
fare,料金
board,議会のテーブル
apart,ばらばらに
collection,取り立て
coal,石炭
event,出来事
navy,(色)ネービーブルー
deal,取り引きする
deeply,深く
gym,屋内体操場
whether,～かどうか
seventh,第7の
passport,パスポート
develop,傾向を発現させる
tulip,【植物】チューリップ
eraser,消しゴム
edge,ふち
painful,痛い
candle,ろうそく
violent,乱暴な
maybe,ことによると
ribbon,インクリボン
secretary,秘書
opinion,見解
murder,殺人
pure,純粋な
shadow,影
culture,文化
desert,砂漠
offer,提供する
balloon,風船
pearl,真珠(の)
pause,休止(する)
steam,蒸す(むす)
pizza,ピザ(パイ)
raise,(価格などを)引き上げる
concert,コンサート
corn,穀粒
iron,鉄製の
balance,とつり合う
tax,課税する 重荷
steal,(こっそり)～を盗む
wooden,木製の
shampoo,シャンプーで洗う
complete,仕上げる
twelfth,十二番目の
fault,過失
skirt,スカート
customer,得意先
dial,ダイヤル
protection,保護貿易
positive,明確な
painting,塗る
weight,重さ
spare,スペア
railroad,鉄道
nephew,おい
exciting,興奮させる
unable,できない
success,成功したした人(事)
bay,吠えつく
sweat,汗水たらして働く
drinking,飲用に適した
yeah,yes way. See sure.
discuss,について議論する
swallow,飲み込む
palace,宮殿
suggest,～しようと提案する
happily,幸福に
professor,教授
manager,マネジャー
human,人間らしい
vote,投票する
female,女性の
crowded,混雑した
hamburger,ハンバーグステーキ
solve,解く
anywhere,どこにも
broken,壊れた
prefer,むしろ～の方を好む
forever,永久に
pack,パックする
track,軌道
former,かつての
repeat,繰り返し言う
escape,免れる
active,活動的な
lawyer,法律家
priest,聖職者
net,網
strawberry,イチゴ(色)
least,最も価値の少ない
care,気にする
beyond,～の向こうに[の]
pillow,枕
grandson,男の孫
dislike,きらう
term,用語
spirit,心?精神
ah,ああ!
leather,なめし皮
sailing,帆走
electric,電気の
gather,～を取り入れる
audience,支持者
elder,年上の
shrimp,【魚】小えび
detail,詳述する
ninetieth,第90番目の
peace,平和
super,すばらしい
normal,典型的な
whiskey,ウィスキー
process,処理する
imagine,想像する
punish,罰する
occasion,引き起こす
western,西部地方の
remove,人を追い出す
discussion,ディスカッション
mad,気が狂った
arrival,到着
recover,埋め合わせる
purple,紫色
anger,怒り
correct,訂正する
message,メッセージ
necklace,ネックレス
regard,～とみなす
anyway,とにかく
melt,溶ける
degree,度合い
heaven,至上の幸福
row,列になっている人
unless,もし～でなければ
waitress,ウエイトレス
twice,2倍
trick,策略
anxious,しきりに～したがって
ability,能力
shot,shootの過去?過去分?発射
tobacco,たばこ
easily,容易に
cross,交配種
cause,～を引き起こす
lonely,連れのいない
express,考えを言葉に表現する
feed,虚栄心を満足させる
fuel,核燃料
ink,インク
period,ピリオド
further,さらにずっと
fence,柵
storm,強襲する
spread,～を広げる
carpenter,船大工
familiar,よく知られている
match,調和がとれている
airline,(単数扱い)航空会社
sight,一覧払い
enemy,かたき
broadcast,放送する
mild,【気象】温和な
hero,[小説?劇の]主人公
millimeter,ミリメートル
rainbow,【気象】虹
mention,(について)述べる
engineer,技師
publish,出版する
reserve,用意しておく
alphabet,アルファベット
knowledge,知識
skating,スケートをする
fix,固定させる
host,主人(役)
bee,ハチ
drug,麻酔薬を飲ませる
disk,円盤
especially,とりわけ
defense,防衛
public,一般の
spoken,speakの過去分詞形
cheek,頬(ほお) 《会話》無礼
thumb,親指
examination,試験
less,より少なく
ghost,二重映像
general,全体的な
neat,さっぱりした
tour,周遊する
bend,～に取り組む
burst,突発する
continue,続ける
hiking,ハイキングする
coast,のんびりやる
aside,取っておいて
ought,すべきである
grandpa,[小児語]おじいちゃん
product,製品
impression,気持ち
service,奉仕
flow,流れる
cousin,いとこ
player,プレーヤー
haircut,ヘアスタイル
reader,朗読者
boss,支配する
direction,指示
double,2倍の
loud,大きな声を出す 大声で
plain,単純な
stereo,ステレオの
surely,確実に
tummy,(小児語)おなか
possible,可能な
similar,同様な
owner,オーナー
path,小道
cycle,周期
helicopter,ヘリコプター
object,反対する
destroy,破棄する
direct,まっすぐに
soldier,軍人
within,のうちに
strength,強度
crowd,押しよせる
traffic,交通
accident,天災
rough,手触りの荒いもの
pleasure,楽しみ
private,一個人の
praise,褒める
effort,骨折り
sheet,シート
bright,機転の利く
main,主な
jungle,ジャングル
however,しかしながら
coin,鋳造する
reply,返答する
mankind,人類
repair,修理の仕事
harm,害する
sort,仕分けする
butterfly,【虫】チョウ
merry,陽気な
used,～に慣れて 用いられた
bone,骨
produce,生産する
rush,急に襲いかかる
common,平凡な
fan,扇風機
heat,暖める
amount,に等しくなる
activity,活動
beer,ビール
signal,信号(を送る)
comic,喜劇的なこっけいな
examine,試験する
root,～を植え付ける 根をおろす
neither,もまた～ない
everyday,毎日の
somewhere,どこかに[へ]
pepper,【植物】こしょう
broad,《米俗語》(軽蔑的に)女
actor,俳優
freedom,自由
fashion,ファッション
afterward,後に
shade,陰
method,方法
upstairs,階上への
deny,陳述を否定する
social,社会の
jet,噴出
elevator,エレベーター
policy,保険証券
cocoa,ココア
official,公務上の
scientific,系統だった
underwear,下着
measure,ものさし
teen,13歳から19歳の
blind,出口のない
possibility,可能性
lot,～を分け与える
opera,オペラ
guard,用心する
schoolgirl,女生徒
position,位置
describe,描写する
view,視界
sixteenth,16番目(の)
peach,桃(の実)
purpose,決心
medicine,医学
engine,エンジン
centimeter,センチメートル
yet,まだ(肯定文)
button,ボタン
fourteenth,第14の
moment,瞬間
sudden,突然の
serious,真剣な
lay,～を置く
hire,～を賃貸しする
carefully,慎重に
melon,【植物】メロン
elbow,肘
scream,鋭い叫び声をあげる
needle,人をいらだたせる
imagination,機知に富んでいること
powerful,強力な
material,材質試験
dancing,踊ること
worried,困った
ton,トン
might,力
clearly,はっきりと
completely,完全に
worse,もっと悪い
castle,城郭
photographer,写真家
stream,小川
cent,1セント
lend,引き受けさせる
journey,(通常陸上の
eightieth,第80の
scientist,科学者
float,浮くもの
racket,ラケット
labor,労働する
form,(スポーツ選手などの体の)調子
wire,針金
hook,かぎ形に曲げる
freeze,～を凍らせる
bottom,根拠とする
silly,ぼうっとした
nowhere,どこにも～ない
discount,割引
provide,供給する
panda,【動物】パンダ
jeans,ジーンズ
truth,本当のこと
lead,首位
birth,出産
silence,沈黙
volleyball,バレーボール
themselves,三人称複数複合人称代名詞
festival,祭
myself,私自身
fisherman,漁師
gift,天賦の才能
action,行為
example,例
arrangement,協定
exercise,訓練する
apron,(空港の)エプロン
decision,決断力
eleventh,第11番目の
pray,懇願する
mix,混合 混ぜる
downstairs,階下に
character,登場人物
kilo,キロ
spaghetti,《伊》スパゲッティ
belt,～地帯
supper,夕食(会)
monthly,毎月の
drunk,酔って
president,大統領
shock,～に衝撃を与える
sense,感覚
writing,書く
rank,地位を占める
disease,病気
dust,ほこり
grandma,おばあちゃん
sink,台所の流し
area,地城
stupid,愚かな
jazz,ジャズ
experience,体験する
admire,に敬服する
terrible,ものすごい
handle,手を触れる
title,表題
pattern,パターン
nervous,いらいらする
length,長さ
agency,代理店
platform,プラットホーム
image,想像する
mood,気分
hall,大広間
blame,責任を負わせる
distant,時間が隔たった
deaf,聞こうとしない
peak,頂点
address,話しかける
tool,道具
fax,ファックス
worker,肉体労働者
improve,価値を高める
citizen,市民
earn,獲得する
perfect,～を完成する
greatly,大いに
fifth,第5の
mathematics,数学
allow,考慮する
computer,コンピュータ
block,ブロック
advise,忠告する
charge,非難する
walker,散歩する人
certainly,もちろんです
sofa,ソファー
schoolboy,男子生徒
purse,すぼめる
cotton,綿織物
chest,収納箱
furniture,必要備品
succeed,(～の)あとを継ぐ
wedding,結婚式
bill,請求書
poet,詩人
precious,気取った
international,国際的な
crew,乗組員
introduce,引き合わせる
likely,可能性が高い
force,余儀なくさせる
sir,あなた
stomach,～したいという気持ち 食欲
nest,に巣をつくってやる
appearance,外観
regular,規則正しい
bookshop,書店
guess,解きあてる
tube,パイプ
press,圧迫する
herself,彼女自身
powder,パウダー
mosquito,【虫】蚊
contain,包含する
ceiling,最高価格
vocabulary,用語範囲
awful,すざましい
final,最後の
princess,プリンセス
ocean,大海
accept,受け入れる
papa,パパ
speech,スピーチ
tourist,観光客
peaceful,平和な
married,結婚した
system,制度組織体系的方式
distance,隔たり
sunshine,日向
weekly,週刊誌 毎週の
false,正しくない
limit,制限する
immediate,すぐ隣の
eighth,8番目の
couple,カップル
apply,申請書を提出する
blood,血
prison,刑務所
perform,実行する
salary,給与
instead,その代わりに
speaking,話す
win,に勝つ
trumpet,【楽器】トランペット
problem,問題
passenger,旅客
stretch,～をいっぱいに伸ばす
prevent,妨げて～させない
turkey,【鳥】七面鳥
lamp,ランプ
district,地方
belong,所有物である
accent,アクセント
explain,説明する
fail,人を失望させる
brick,れんがを敷く
whole,全部の
garage,[rb]ガレージ
law,法律
puzzle,の頭を悩ませる
nearly,よく似て
quite,まったく
create,引き起こす
account,～とみなす
add,言い足す
bowl,野外円形競技場
local,地方の
height,高いところ
insect,虫
sunlight,日光
hell,～なんてとんでもない
actress,女優
pride,プライド
result,起こる帰着する
wipe,拭く
bacon,ベーコン
cigar,葉巻たばこ
asleep,眠って
strike,突き当たる
check,停止
electricity,電気学
meaning,意味する
separate,切り離す
understanding,物わかりのよい
approach,接近する
seventieth,70番目の
beauty,美しいもの
shoot,(視線
request,要求(物)
handsome,均整の取れた
brush,ブラシをかける
successful,成功した
divide,分割[分裂]する
grade,こう配
medical,医学の
sail,帆
text,テキスト
spider,クモ
content,気楽な
menu,メニュー
locker,ロッカー
topic,話題
throat,のど
nature,原始状態
cast,傾向
temple,こめかみ
crazy,気がくるった
mystery,推理小説
excellent,優秀な
disappear,見えなくなる
value,価値(感)
adult,おとな
pie,パイ 総額
custom,得意先
pan,なべ
companion,対の片方
highly,大きにほめて
foreigner,舶来品
hang,つるす
borrow,借用する
monster,怪物
cinema,映画館
cable,有線テレビ
greatness,大きいこと
sixtieth,60番目の
tiny,ちっぽけな
courage,勇気
steel,スチール
greeting,挨拶
training,トレーニング
prisoner,囚人
ham,豚のもも肉
generally,一般に
rail,らんかん
ending,終わり
exit,退場
mate,つがいの片方
himself,彼自身
danger,危険の原因となるもの
campus,キャンパス
upper,上方の
expensive,高価な
thief,泥棒
pour,注ぐ
cowboy,カウボーイ
diamond,ダイヤモンド
kilometer,キロメートル
quietly,静かに
