fledgling,創業まもない企業
precinct,境内
stealth,こっそり
bemoan,悲しむ
cadet,士官学校生
garland,花輪で飾る
incest,近親相姦
sedative,【医学】鎮痛剤
rue,後悔する
admonish,に警告する
precursor,先駆者
corporal,伍長
convergence,一点に集まること
indelible,消すことのできない
battalion,大隊
glowing,真赤に燃える
charred,黒こげの
disparage,の信用を落とす
farce,笑劇
citation,引用(quotation
zealot,(通例けなして)熱狂する人
cynic,皮肉屋
euthanasia,安楽死
inflame,火をつける
jay,【鳥】カケス
cache,貯蔵所
archipelago,多島海
heather,くすんだ赤紫色
ensemble,《仏語》全体(的効果)
supplant,取って代わる(replace)
altruism,利他主義
arthritis,関節炎
demur,異議を唱える
ferment,混乱
outspoken,率直な
proliferate,増殖させる
registry,登録
sparse,まばらな
chaplain,公共施設付きの牧師
lore,(民間の伝承
harrowing,痛ましい
impeccable,欠点のない
evangelical,福音の
empathy,感情移入
scathing,冷酷な
birch,カバの木
distraught,ひどく取り乱して
payroll,給料支払表
neuron,解剖ニューロン
meander,あてどなく歩く
flounder,ヒラメ
crony,旧友
scoff,嘲笑 ～をあざ笑う
fondle,かわいがる
exhort,に強く勧める
skinner,皮をはぐ人
hyperbole,【文法】誇張法
raider,企業買収家
defection,離脱
mitigate,和らげる
poised,落ち着いた
colt,子馬
benefactor,恩人
giddy,めまいがする
stronghold,本拠地
orgy,乱飲乱舞の酒宴
canine,犬のような
bask,恵まれる
devaluation,通貨の切下げ
overly,あまりに
prodigy,非凡の者
pernicious,有害な
seismic,地震の
injunction,すすめ
entrench,ざんごうで囲む
prodigious,巨大な
acumen,鋭さ
squabble,つまらないけんか
rove,うろつく
downplay,見くびる
grudging,いやいやの
fin,(魚の)ひれ
apocalypse,黙示
tumultuous,騒然とした
heady,せっかちな
truce,中止
profane,神聖を汚す
hurtle,激しくぶつかる
cull,(花などを)摘む
rendition,演奏
containment,封じ込め
crate,わく箱に詰める
deport,国外に追放する
endemic,風土性の
demographic,人口統計学の
legion,歩兵軍団
motley,まだらの
fodder,飼い葉
contraception,避妊
elf,(小)妖精
rationale,理論的解釈
conjure,魔法で呼び出す
deride,あざ笑う
insinuate,遠回しに言う
metaphysical,形而上学の
sodium,【化学】ナトリウム
rivet,～をくぎ付けにする
extol,賞賛する
towering,非常に高い
anesthesia,麻酔
stalwart,背が高くて力強い
raucous,しわがれた
stint,仕事を割り当てる
audacity,大胆
deference,服従
requisite,不可欠な
crumple,しわくちゃにする
marquee,入口のひさし
obsessive,つきまとう
clot,凝塊する
coy,恥ずかしがりの
incompetence,無能
sideline,副業
pharmaceutical,調剤学の
align,並べる
tout,しつこく求める
fiat,命令
prowess,武勇
veritable,ほんとうの
primate,霊長目の動物
rabid,過激な
grope,手探りする
buyout,買い占め
attrition,摩耗
middleman,仲買人
airborne,空輸の
alias,別名
squint,目を細くして見る
sewage,下水
concerto,協奏曲
rapport,調和
gala,はなやかな
perky,生意気な
feud,(封建時代の)領地
ferocity,獰猛性
phantom,幻影
spinal,とげの
wayward,きまぐれな
backlash,跳ね返り
respite,猶与する
cynicism,皮肉
baroque,飾りたてた
deity,神
antidote,解毒剤
meteor,流星
unilateral,一方的な
turnout,(ショーなどへの)人出
tenacious,に固執している
pneumonia,【病名】肺炎
acquittal,無罪放免
bombardment,爆撃
confiscate,没収する
drone,ぶんぶんうなる
rampant,生い茂る流行する
spurn,踏ん付ける
laureate,栄誉のある
hustle,押しのけて進む
foray,略奪を目的で侵略する
township,郡区
fluorescent,蛍光の
courtship,(女性への)求愛
adjoining,隣接している
mannerism,マンネリズム
cooper,おけ屋
protagonist,主唱者
stagnation,よどみ
torso,胴
relinquish,所有物を放棄する
swagger,いばった歩き方
plagiarism,盗用
vie,競う
forgo,～なしで済ませる
subversive,破壊する
proprietor,所有者
libel,誹謗する
respiratory,呼吸の
benchmark,(価値判断などの)基準
sierra,連山
taunt,あざける
gild,金めっきする
accomplice,共犯者
obscenity,わいせつ
whore,売春婦
blister,水ぶくれができる
scrupulous,良心的な
capitulate,降伏する
putative,推定[推測](上)の
waiver,権利放棄
contraceptive,避妊(用)の
impunity,罰を受けないこと
austerity,緊縮財政
evocative,呼び起こす
proffer,申し出
overriding,他のすべてに優先する
gouge,丸のみ
dour,陰気な
compilation,編集
stigma,不名誉
leukemia,【病名】白血病
conservationist,(自然などの)保護論者
scourge,こらしめる
pseudonym,偽名
whisk,さっと払う
coffer,貴重品箱
philanthropy,博愛
coronary,冠状の
stein,スタイン(ビール用ジョッキ)
heyday,全盛期
collateral,担保物件 付随的な
stalemate,行き詰まらせる
bastion,とりで(となる人?も?
espionage,スパイ行為
rueful,後悔している
stricken,撃たれた
opium,麻薬
culmination,最高点
genealogy,系図(学)
fawn,じゃれつく
tacit,暗黙の
stellar,星のような
expatriate,国外追放する
romp,(スポーツなどで)楽勝する
pivotal,中枢の
amply,十分に
splice,重ね継ぐ
probation,保護観察(期間)
continuum,(物質?事件など?連続(体)
furrow,わだち
exult,歓喜する
spook,スパイ
replicate,(～を)模写する
pseudo,偽の
rebuff,そっけない拒絶
jab,ジャブで突く
turner,旋盤工
rectitude,正直
hallmark,純度検証極印
choreographer,振付師
oracle,神託
gauntlet,篭手(こて)
predatory,略奪する
nimble,機知にに富む
sardonic,皮肉な
incendiary,放火犯人
impromptu,即座に
misgiving,疑惑
harry,繰り返し攻撃する
clinch,に決着をつける
slur,なおざりにする
aggrieved,しいたげられた
falcon,【鳥】タカ
drape,(カーテン
recalcitrant,強情張り
bard,詩人
circumvent,出しぬく
vernacular,その土地特有の
sumptuous,贅沢な
impoverished,貧窮化した
seductive,人を引きつける
hallucination,幻覚
forlorn,見捨てられた
patronize,恩着せがましい態度をとる
homicide,殺人
nitrogen,窒素
contrition,痛恨
abiding,持続的な
dredge,しゅんせつ機
surcharge,追加料金
tinge,色合い 薄く色をつける
endear,いとしいと思わせる
burnish,磨く
vigilant,油断のない
vibrant,振動する  反応し易い
gregarious,群生した
espouse,採用する
bombard,質問攻めにする
avid,貪欲な
glut,満腹
treason,背信
patriarch,家長
prolific,子をたくさん産む
rancor,恨み
pristine,初期の
rowdy,騒々しい
bluff,こけおどす
buttress,控え壁
curator,後見人
neural,神経(系)の
ailing,病気で苦しんでいる
microbe,細菌
laud,賛美
ignite,点火する
tamper,に干渉する
psyche,プシュケ
lush,新鮮な
buffer,緩衝装置
skirmish,小ぜり合いをする
incite,刺激する
conundrum,地口なぞ
glean,拾い集める
disintegration,分解
edifice,大建築物
deft,器用な
vindicate,の嫌疑を晴らす
hiatus,(時間の)空白
launder,出所を隠す
whiff,一嗅ぎ
opus,著作
corrosive,腐食性の
pleading,弁論
salvage,残余財産売得金
morbid,ゆううつな
disproportionate,不つりあいな
retribution,仕返し
evasion,言い逃れ
botch,やり損なう
dope,ドープ
relapse,退歩
rife,豊富な
smug,ひとりよがりの
hapless,不運な
tantrum,かんしゃく
metabolism,新陳代謝
dementia,痴呆
incarnation,化身
scour,捜し回る
touchy,気難しい
civility,ていねいな言葉
grudge,恨み
consummate,完成する
rover,さまよう人
pedigree,系図
pun,だじゃれ
troupe,一座
crackdown,(違法行為の)取締り
blight,(植物を)枯らす
penchant,《仏語》傾向
boisterous,荒々しく騒々しい
debilitate,衰弱させる
pilgrimage,巡礼
hegemony,支配権
revamp,刷新する
flirtation,(男女の)ふざけ
balk,妨げる
wizard,名人
warren,うさぎの繁殖地
succumb,屈服する
recoup,償う
vandalism,公共物破壊
bravado,《西》虚勢(をはる)
devious,素直でない
downright,徹底的な
glum,むっつりした
sheen,輝き
cortex,皮質
reverberate,反射する
revitalize,再び生気を与える
perennial,一年じゅう続く
fraudulent,詐欺の
wrath,激怒
affable,人好きのする
susceptible,影響を受けやすい
forensic,法廷の
booty,盗品
shoddy,再生毛糸
rendezvous,ランデブー
tenor,趣旨
squadron,戦車大隊
fickle,気紛れな
overture,提案
portal,表玄関
placebo,(有効成分のない)偽薬
ubiquitous,遍在する
bigotry,(人種?宗教などの)偏見
grouse,【鳥】雷鳥(ライチョウ)
stately,威厳のあった
calculus,石
respectability,体面
flagrant,言語道断の
palpable,触知できる
exhale,吐き出す
stagnant,流れない
procurement,調達
bidder,入札者
quip,いやみ
clutter,取り散らかす
acquit,無罪にする
centerpiece,中央部装飾
pamper,飽食させる
perpetrate,悪事を行う
narrate,順序だてて話す
plywood,ベニヤ合板
seminary,学校
conglomerate,コングロマリット
buoyant,浮揚性のある
fiddle,いじる バイオリン
brandish,ふりまわす
insidious,陰険な
hilarious,陽気な
handcuff,手錠
lingerie,婦人用下着
torpedo,水雷で破壊する
jumble,ごたまぜにする
anomaly,例外
debacle,鉄砲水
insatiable,飽くことのない
beacon,水路標識
revile,悪口する
caliber,能力
financier,財政家
whimsical,気まぐれな
lama,ラマ
obnoxious,嫌いな
pew,ベンチ形信者席
thug,悪党
lurch,よろめく 窮地
revoke,取り消す
rodent,【動物】げっし動物(rat
incriminate,のせいにする
writ,令状
opaque,あいまいな
rampart,塁壁
demolition,破壊
insolvent,支払い能力のない
gnaw,かじる
arcane,秘密の
alumnus,(大学の)(男子の)卒業生
seminal,精液の
clamor,騒ぎ
breathtaking,はらはらするような
ascendancy,主導権
hull,(穀粒外皮
anemia,貧血
epitaph,墓碑銘
hulk,老朽船の船体
ovation,熱烈な歓迎
horrendous,恐ろしい
arbor,高木
spearhead,の先頭に付く
menopause,月経閉止
hearten,…を元気づける
complicity,連座
clout,《会話》強い影響力
humiliating,不面目な
unearth,発掘する
exuberant,(想像力など)豊富な
biopsy,生体組織検査
null,無価値の
cub,(キツネなどの)子
hoax,人をかつぐこと
brazen,真ちゅうの
garner,得る
curt,そっけない
sickle,鎌
vanguard,前衛
belligerent,好戦的な
translucent,半透明の
evasive,回避する
nestle,気持ちよく横たわる
barrage,連続
inhale,吸い込む
corroborate,確証する
concoct,(スープなどを)作り上げる
misdemeanor,軽罪
garrison,前線基地の任じられた兵
bower,木陰
meltdown,融解
brethren,brotherの複数形
flex,曲げる 電線
whack,…を激しく打つ
furor,熱狂
decipher,(暗号など)を解読する
petal,【植物】花弁
tawdry,安ぴかの
quadruple,4重の
chromosome,染色体
comptroller,(会計?銀行)検査官
capitalize,に投資する
defunct,現存しない
tepid,なまぬるい
commandment,おきて
pivot,旋回軸
inundate,水浸しにする
retaliate,仕返しする
windfall,(収穫前に風で落ちた)果物
perimeter,周
epicenter,震源地
galvanize,電気治療する
destitute,《格式》貧困な
proprietary,所有主の
womb,子宮
irate,怒った
duel,果たし合い
watershed,(社会的に大きな)転換点
rigor,厳格さ
flaunt,みえを張る
annul,無効にする
reflex,反射作用の
introspective,内省的な
knack,こつ
demeanor,振舞い
languish,元気がなくなる
lob,【テニス】ロブで球を返す
apprehensive,心配した
cuff,袖口
parity,(量
boomer,ブーマー世代
stave,桶板
chide,たしなめる
abrasive,すり減らす
disband,解散する
revulsion,嫌悪
eclectic,取捨選択する
quash,取り消す
murky,暗い
heterosexual,
duct,導管
upshot,結末
ark,【聖書】箱舟
disparity,格差
sire,～の種馬となる
rout,大勝する
prelude,前触れとなる
homage,忠誠の誓い
optic,目の
flimsy,薄っぺらな
upbringing,しつけ
logging,伐木搬出
ghastly,青ざめた
forthright,率直な
fetus,(妊娠3ヵ月以後の)胎児
infrared,赤外線(の)
hump,こぶ
pronounced,はっきりした
sprint,短距離走
whine,哀れな声を出す
stringent,説得力のある
chasten,懲らしめる
shear,刈る
grit,軋らせる
wobble,よろよろする
magnolia,【植物】もくれん
resilient,はね[とび]返る
surrogate,代理
enclave,飛び領土
footing,しっかりした基礎
reactionary,反動の
obese,でっぷり肥えた
hefty,大きな
communique,《仏語》公報
bullish,雄牛のような
cobble,(靴を)修繕する
pod,さや
carcass,残がい
ablaze,燃え立った
hone,(かみそりなどの)砥石
hypertension,高血圧(症)
uproar,大騒ぎ
reconnaissance,偵察
renegade,背教者
dent,へこみ
rapprochement,《仏語》親善
overdose,(薬の)盛りすぎ
euphemism,婉曲語法
defamation,中傷
marrow,髄質
chasm,大きな深い裂け目
tarnish,曇らせる
intravenous,静脈内の
cardiovascular,心血管
genteel,気取った
cornerstone,礎石
waive,(権利)を放棄する
loathe,ひどく嫌う
disparate,異なる
finesse,策略
masterly,巧みな
doctorate,博士号(の学位)
cleric,聖職者
clamp,とめ金
disgruntled,不満な
exhilarate,陽気にする
enactment,立法
sexist,
seedy,怪しげな
theological,神学の
litigation,訴訟
tuberculosis,結核
onslaught,突撃
graft,移植する
comatose,昏睡状態の
nutty,に熱中して
complacency,自己満足
intractable,扱いにくい
smirk,にやにや笑う
commando,特攻隊
derision,嘲笑
innocuous,刺激のない
abbey,修道院
hassle,激論
deluge,氾濫させる
plaza,《西》(都市の)広場
footage,フート単位の長さ[体積]
pitfall,落し穴(hidden danger)
culinary,台所の
combo,コンボ
scalp,小利潤
genital,生殖の
entourage,《仏語
cumbersome,扱いにくい
contemplative,黙想にふける
ultimatum,最後通牒
asteroid,小惑星
embodiment,化身
deterioration,(品質などの)低下
frigid,寒さの厳しい
tenuous,あいまいな
beguile,欺く
hub,ハブ
lexicon,語彙目録
nag,にがみがみ言う
snag,get
resurrect,復活させる
boardroom,役員室
grapple,組打ち ～をつかむ
renovate,革新する
devolve,(義務など)委譲する
subvert,くつがえす
supple,しなやかにする
ludicrous,ばかげた
bane,害毒
autocratic,独裁の
remorse,後悔
glee,よろこび
concerted,協定による
reprimand,叱責(する)(rebuke)
foreman,作業長
mason,石工
eligibility,適格
assortment,品揃え
glimmer,ちらちらする光
lewd,みだらな
persona,仮面
roach,ゴキブリ
inferno,地獄
tribune,民権擁護者
sputter,ぱちぱちいう
discretionary,任意の
stunt,～を妨げる
prostitution,売春
anesthetic,《名》麻酔剤
grueling,gruelling
patrician,(古代ローマの)貴族(の)
drawl,音を長く延ばして言う
shingle,小さな看板
mule,【動物】ラバ
mull,熟考する
impede,妨げる
sporadic,ときどき起こる
mortify,くやしがらせる
implacable,無情な
trajectory,軌道
infringement,違反
vigil,徹夜すること
abet,扇動する
accrue,生じる
posh,ふん
embroil,に巻き込まれる
emanate,発出する
animosity,敵意
barbed,あごのある
putt,パットする
tremor,震動
slouch,前かがみになる
picket,くいを打つ
deplete,消耗させる
courthouse,裁判所の庁舎
blatant,あからさまな
luster,光沢のある毛織物
acronym,頭文字語
seep,しみ出る
baggy,だぶだぶの
fraternal,友愛の
goad,突き棒で突く
austere,厳しい
headlong,まっさかさまに
mutant,突然変異による
nausea,吐き気
insurrection,暴動
firearm,小火器
moribund,消滅しかけている
dire,恐ろしい
staunch,揺るぎない
mole,【動物】モグラ
flagship,旗艦
terse,簡潔な(succinct
predicament,断定されたもの
unruly,手に負えない
