precipitation,投下
salutary,健康によい
fabrication,作り話
deforestation,森林伐採
immunize,免疫にする
connotation,implication
forage,食糧を徴発する
feasibility,実現可能性
gilt,gildの過去·過去分詞形
tardy,遅々とした
slovenly,だらしない
augment,増す
algae,藻類
slough,堕落のふち
eavesdrop,盗聴する
omnipotent,全能全知の
confluence,合流
kinetic,(物理学)動的な
pillage,略奪
talon,鉤爪
dissonance,不調和音
fir,【植物】モミ
annexation,併合
jovial,陽気な
curio,骨董品
ponderous,非常に重い
plaintive,悲しげな
irredeemable,買い戻しできない
surly,険悪な
pike,【魚】カワカマス
reparation,賠償金
dissect,分析する
subjugate,支配(征服)する
patter,むだ話
wriggle,体をくねらせる
secluded,引き込もった
unobtrusive,控え目
morose,気難しい
jostle,乱暴に押す
periscope,潜望鏡
vacate,あける
rejoinder,答弁
goblin,小悪魔
gill,えら
sulk,すねる(こと)
antigen,免疫アンチゲン
colitis,病理大腸炎
purr,のどを鳴らす
batten,たらふく食う
vector,ベクトル
totter,よちよち[よろよろ]歩く
vane,【気象】風見
alderman,《米》区長
obstetrician,産科医
disseminate,(種子など)をまく
bunk,(船?列車?寝だな
gurgle,ゴボゴボ流れる
prodigal,惜しげなく与える
environs,近郊
chum,親友
susceptibility,感受性
tongs,火箸
dab,そっとたたく
amalgamate,(会社など)を合併する
wicker,邪悪な
moat,堀
unfurl,(帆
scum,かすが浮かぶ
obtrusive,押しつけ
fudge,ごまかす
convalescence,快方に向かう
crease,に折り目をつける
ignoble,品性低劣な
malevolent,悪意のある
dinghy,小ボート
vanquish,征服する
abreast,並んで
procrastinate,ぐずぐずする
immemorial,遠い昔の
lethargic,無気力の
quail,おじける
gully,谷川
anorexia,神経性無食欲症
servile,奴隷の(ような)
terminology,専門用語
sedentary,いつも座っている
instigate,そそのかす
diagonal,対角線の
tranquilize,落ち着かせる(く)
claustrophobia,閉所恐怖症
esoteric,秘密の
dissipate,散らす
convulsion,けいれん
nondescript,これといった特徴のない
vulgarity,俗悪
oneness,単一性
noxious,不健全な
expedient,都合のよい
snooze,うたた寝する
incinerator,焼却炉
chauvinism,盲目的愛国心
rummage,くまなく捜す
cordon,哨兵線
cavalier,騎士
porous,小穴の多い
stallion,種馬
delirium,精神錯乱
delirious,精神の錯乱した
bromide,臭化物
conciliatory,懐柔的な
esophagus,食道
sundry,種々様々な
dingy,薄黒い
tithe,十分の一税
dermatologist,皮膚科専門医
sinew,腱
concordance,用語索引
waft,ふわふわと飛ぶ
bequeath,遺言で譲る
revel,大いに楽しむ
articulation,調音
dispensary,診療所
ruffle,かき混ぜる
cleavage,裂け目
constrict,締めつける
flora,植物相
balm,(心の)慰め
harrow,鋤 
negate,事実を否定する
fluffy,けばの
detrimental,有害な
valiant,勇敢な
apparition,幽霊
plethora,過剰
mutilate,骨抜きにする
inlet,象眼物
inscribe,にしるす
decadence,デカダンス
dejected,落胆した
cursory,(仕事など)急ぎの
thoroughfare,通路
demography,人口統計学
mackerel,【魚】サバ
leech,【動物】ヒル
coddle,(人や動物を)やさしく扱う
wont,習慣
assail,激しく非難する
mortuary,葬儀場
brunt,攻撃のほこ先
tentacle,触手
impinge,侵害する
furtive,ひそかな
fleece,一匹分の羊毛
stricture,狭搾
recompense,に返礼する
repatriate,本国へ帰す
crypt,地下室
snip,はさみで切る
maggot,【虫】ウジ
plebiscite,国民(住民
sultry,焼けつくような
overrate,…を過大に評価する
outwit,機知において～より勝る
matron,既婚婦人
zodiac,黄道帯
polyglot,多言語に通じた(人)
arbitration,仲裁
binary,二進の
frugality,倹約
javelin,槍
squeamish,気むずかしい
appraise,(～の価値を)決める
promiscuous,誰とでも性交する
enjoin,指示する
illustrious,すぐれた
projectile,発射する
repudiate,否認する
infringe,侵害する
confederation,連盟
secession,脱退
peruse,精読(熟読)する
precipice,絶壁
futility,無益
languid,だらっとした
vociferous,大声でどなる
auspicious,さい先のよい
caustic,腐食性の
deafening,防音装置
listless,気乗りしない
overtone,付帯的な意味
tarry,ぐずぐずする
divergent,分岐する
welter,のたうち回る
decimate,10人に1人をくじで殺す
bereaved,bereaveの過去?過去分詞形
pheasant,【鳥】きじ
prerequisite,あらかじめ必要な
squirt,噴出させる
conciliate,なだめる
induction,就任式
asunder,《文語》ばらばらに
hatchet,手おの
germinate,(種子など)が芽を出す
saturation,飽和
passbook,通帳
eviction,追い立て
ovary,卵巣
solvent,解決方法
penance,懺悔
obituary,死亡広告
kindred,同類の
gusto,おいしさ
amphitheater,円形競技場
urbane,都会風の
modulate,調節する
flinch,しりごみする
hoarse,しわがれ声の
biceps,2頭筋
psalm,賛美歌(発音注意[sa:m])
naught,完全な失敗
bode,(動)の前兆になる
peppery,(食物が)こしょうの(ような)
diction,言葉遣い
locus,場所
chastise,せっかんする
terrestrial,地上の
encroach,侵害する
warble,(小鳥が)さえずる
bronchitis,【病名】気管支炎
primordial,原始の
trough,凹型
hem,縁
atheist,無神論者
periphery,(円?曲線など?周囲
opinionated,自説を曲げない
nullify,無効にする
fluctuate,動揺する
oblique,斜行進する
shoal,浅瀬
foliage,群葉
antagonize,敵にまわす
predisposition,傾向
creak,キーキーという音
efface,(記憶)を消す
squalor,不潔さ
urn,(足や台のついた)つぼ
nave,(教会堂の)身廊
swine,【動物】ブタ
brevity,簡潔さ
oxide,酸化物
cistern,貯水槽
lisp,かたこと
shin,向こうずね
squat,無断で居住する
manipulator,
pedantic,学者ぶる
lubricate,～に潤滑油をさす
unkempt,(髪が)くしを入れてない
hypnosis,催眠
outlay,経費
inadvertent,不注意の
trite,ありふれた
acorn,どんぐり
topography,地形学
vindictive,復讐心のある
assay,検査をする
dribble,したたらせる
irrevocable,取消し不能の
squalid,むさくるしい
pellet,小球
antic,おどけた(しぐさ)
forfeit,没収される
imbue,[itate]にしみ込ませる
adjourn,休止する
fastidious,気難しい
succinct,簡潔な
sleigh,そりに乗る
coerce,強制する
copious,豊富な
airtight,密閉した
ballast,(鉄道?道路の)砂利
vivacious,活気[元気]のある
skipper,(運動チームの)指導者
remission,赦免
lathe,旋盤
substantiate,実証する
stow,詰め込む
arable,耕地 耕作に適した
fussy,気むずかしい 凝った
neurosis,【病名】ノイローゼ
dissertation,論文
privy,内々関与する
sediment,沈澱物
prognosis,病気の予後
heretic,異端者
scuffle,乱闘する
cavalry,機甲部隊
diffident,内気な
assessor,(税額などを)査定する人
loiter,ぶらぶら時を過ごす
aggregation,集合体
coercion,威圧
iniquity,(重大な)不正
lithe,しなやかな
glacial,冷淡な
lesion,傷害
wrest,ねじる
acclamation,《正式》承認
prim,とりすます
pigment,絵具
rabies,【病名】狂犬病
postulate,公理とみなす
juxtaposition,並列
antithesis,正反対
decentralize,地方に分散させる
precipitous,切り立った
ode,叙情詩
breadwinner,稼ぎ手
flail,殻竿(で打つ)
homogeneous,同種の
daft,ばかな
derelict,放棄された
legible,読みやすい
rudder,かじ
tableau,《仏語》(tableaus
vagabond,放浪者
destitution,貧困
downcast,意気消沈した
liquidate,清算する
filial,子としての
stocky,ずんぐりした
tropic,回帰線
equestrian,馬術の
incongruous,一致しない
attire,盛装させる 衣装(cloth)
edify,強化する
aft,後部に
peal,響き
judicious,思慮分別のある
eddy,小さい渦巻き
amphibian,両生類の
fallacy,きべん
bountiful,贅沢な
foolhardy,無鉄砲な
thesaurus,分類語彙辞典
spruce,【植物】エゾマツ
lagoon,潟
deterrence,阻止
friar,たくはつ僧
kiln,窯
mite,【虫】ダニ
secrete,～を隠匿する
toad,【動物】ヒキガエル
bridle,反り返っていばる
disheveled,(髪が)乱れた
infirmity,虚弱
miscellaneous,雑多な
capricious,気まぐれな
drizzle,【気象】小雨が降る
bilateral,二国間の
pompous,もったいぶった
nook,引っ込んだところ
hermit,世捨て人
duchy,公爵領
memento,形見
exasperation,憤激
reprieve,死刑の執行延期
smudge,いぶす
hedgehog,【動物】ハリネズミ
wart,いやなやつ
hedonism,快楽[享楽]主義
enshrine,神殿に祭る
synod,宗教会議
suffrage,選挙(権)
crux,最重要ポイント
omnivorous,雑食の
distal,解剖遠位の
dung,肥料(manure)
jeer,あざける
itinerary,旅行日程表
semantic,意味の
acrid,(においなど)つんとする
prosaic,散文的な
gaunt,やせた
piecemeal,ひとつずつ
beget,こしらえる
exhortation,勧告
precedence,先に来ること
blanch,ゆがく
froth,泡立たせる
callous,たこのできた
foundry,鋳造場
variegated,(花?葉など)雑色の
contagion,伝染
underpin,支える
lusty,たっぷりの
billow,大きく波うつ
genus,(動植物分類上の)属
rasp,石目やすりをかける
whet,(刃物を)研ぐ
litigant,係争当事者
decoy,おとり
casket,小箱
pout,【魚】ビブ(鱈の一種)
haggard,やつれた
depletion,(資源などの)減少
canteen,食堂
compost,配合土
wheeze,ぎゃぐ
exorbitant,ばか高い
usurp,(権力?地位を)奪う
fluff,毛羽
delineation,描写
tempestuous,大あらしの
interminable,果てしのない
keel,竜骨
charlatan,大ぼら吹き
cringe,(恐怖などで)すくむ
incongruity,不調和
insular,島のような
ledger,元帳
muck,がらくた
pilfer,盗む
thimble,指ぬき
dichotomy,二分法
replete,十分に備えた
mumps,【病名】おたふく風邪
functionary,職員
offshoot,支流
sluice,せき
trident,【神話】三つまたのほこ
glint,きらきら光る
humdrum,単調な
amity,親善(関係)
senile,老年の
fuselage,(飛行機の)胴体
wanton,いたずっらこ
interlude,合間(の出来事)
aperture,孔
malady,病気
pert,無遠慮な
membrane,薄膜
ostensible,表面上の
annihilate,全滅させる
pensive,物思いに沈んだ
concomitant,付随物
constellation,星座
talisman,護符
prospectus,目論見書
contravene,反対する
tantalize,(人を)じらす
claimant,(権利の)要求[請求]者
prostrate,(形)うつぶせになった
sojourn,短期間滞在する
accede,同意する
vale,(おもに詩)谷
redress,弊害を除く
innuendo,風刺
intoxication,陶酔
suffocate,窒息(死)させる
ligament,解剖動物靭帯
decrepit,使い古した
muzzle,沈黙させる
fissure,裂け目
insomnia,不眠(症)
jut,突き出る 突起
moot,議論の余地がある
blithe,のんきな
altercation,口論
exponent,指数 解説者
keynote,基調
dally,ふざける
foolproof,しくじりようのない
dialectic,弁証法的な
omniscient,全知の
caprice,気まぐれ
arousal,覚醒
serviceman,軍人
sentry,軍事歩哨
seclude,引き離す
antecedent,先行詞
auxiliary,補助の
tremulous,震えるような
rudimentary,未発達の
virile,男性的な
venom,悪意
abdicate,から退く
infirm,体が弱い
enunciate,発音する
flabby,たるんだ
docile,すなおな
ancillary,補助的な
exude,(汗など)にじみ出る
compliant,従順な
epilepsy,【病名】癲癇
lynx,【動物】山猫
proscribe,追放
stuffy,風通しの悪い
inert,自力で行動できない
daunt,威圧する
sabbatical,安息日の
diabolic,悪魔のような
plod,こつこつ働くこと
cataclysm,激変
tetanus,病理破傷風
thatch,わら
longitude,経度
upholstery,室内装飾業
circumscribe,囲む
swindle,詐欺(fraud) 詐欺を働く
stead,代理
rut,発情(する)
thrifty,倹約な
squatter,不法居住者
abhor,ひどく嫌う
arsenic,砒素
fitful,発作的な
tenancy,借用
clump,群がらせる
vulture,【鳥】コンドル
phosphorus,【化学】リン
deviate,(正しい進路
coop,おりに入れる
furlough,賜暇
intangible,漠然とした
thud,ドサ
stealthy,密かな
acreage,エーカーでの広さ
zest,熱情
reminisce,楽しく思い出す
decorum,端正さ
slapstick,面白い演技
slacken,ゆるむ
subsistence,生存最低生活
kickback,ぴんはね
repulse,反駁する
dislodge,取外す
rapt,心を奪われた
bale,梱包する
repellent,人を不快にさせる
incursion,侵略
abhorrent,嫌悪すべき
jubilee,記念祭
flit,かろやかに飛ぶ
plumb,～の深さを測る
stupor,茫然自失
berth,停泊所
devolution,内政権付与
hoist,旗をあげる
cryptic,隠れた
impel,かりたてる
raze,(街?家など?徹底的に破壊する
pungent,刺激する
elation,意気揚々
consecrate,神聖にする
barrow,手押し車
allay,(恐怖などを)下げる
affront,侮辱する
doldrums,沈滞状態
spar,拳闘をする
bashful,はにかみやの
ephemeral,一日の命の
tether,つなぎなわ[鎖]
rescind,(法律
subterranean,地下で働く人
lair,(野獣の)巣
sultan,(またはS-)トルコ皇帝
detour,回り道
sacrilegious,神聖を汚す
mane,たてがみ
binocular,双眼鏡
threadbare,着古した
municipality,(地方)自治体
fauna,動物群
garnish,飾り
adjunct,付属物
abdominal,腹部
embezzle,着服する
cessation,中止
stubble,刈株
pedagogy,教育学
polemic,論争の
padlock,南京錠
crochet,カギ針編み
conservatory,保存力のある温室
sprightly,元気な
nitrate,硝酸塩
poppy,【植物】アヘン
twitter,くすくす笑う
insurmountable,克服できない
reverie,夢想
valor,勇気
scruple,良心のとがめ
dike,みぞ(ditch)
sequester,隠退させる
quay,波止場
vouch,保証する
discrete,個々の
despotic,専制的な
rotor,回転部
fern,【植物】シダ
cavern,大洞穴
benevolence,慈善
slander,悪口
forgery,偽造
quench,いやす
recoil,しりごみする
sodden,～をびしょぬれにする
amble,ぶらぶら歩く
discerning,洞察力のある
finery,はでな服
lattice,格子
chlorine,塩素
tadpole,【動物】オタマジャクシ
foyer,《仏語》遊歩廊
introspection,内省
spurious,偽の
fortitude,勇気
premonition,予感
impertinent,でしゃばった
afield,家から離れて
matrimony,結婚式
scruffy,汚い
derogatory,軽蔑的な
menial,くだらない
garish,ぎらぎら光る
ransack,くまなく探す
abject,無気力の
combustion,燃焼
delinquency,非行行為
depraved,堕落した
vicinity,近いこと
denunciation,(公然の)非難
restitution,賠償
blasphemy,不敬
deliverance,救出
assimilation,同化
chivalry,騎士道
ostracism,追放
epitome,抜粋
accession,追加
itinerant,巡回する
vehement,熱烈な
vantage,有利
preponderance,優越
stupendous,途方もない
sterilize,不妊にする
embellish,飾る
expedite,促進させる
seethe,沸騰する
buttock,しりの片方
ventilation,換気
constipation,便秘
immaculate,汚れていない
chaste,貞節な
lava,溶岩
beseech,に懇願する
groin,解剖鼠径部
unequivocal,あいまいでない
armistice,休戦
consignment,委託貨物
fiend,悪魔(devil
lucid,分かりやすい
canvass,canvas
demarcation,境界
prerogative,特典
parson,教区牧師
orchid,【植物】蘭(の花)
vestige,痕跡
onerous,わずらわしい
nomad,遊牧民
perpendicular,垂直の
otter,【動物】カワウソ(の毛皮)
supersede,に取って代わる
reimburse,に弁償する
resplendent,光り輝く
physiology,生理学
circumspect,注意深い
admonition,警告
carcinogen,発癌(性)の
monastic,修道院の
concave,凹面の
whimper,(犬が)クンクン鳴く
voluptuous,官能的な
interdisciplinary,学際的
recluse,隠遁した人
sieve,こし器
serum,血清
schism,分裂した団体
congregate,集まる
gratuity,心付け
reiterate,繰り返す
potassium,化学カリウム
syntax,【文法】シンタックス
residual,残余の
ellipse,楕円
overbearing,威圧的な
grubby,うじがわいた
cataract,白内障
consternation,狼狽
nocturnal,夜の
onus,重荷
recrimination,非難し返すこと
chronology,年代学
promontory,岬
immaterial,重要でない
gradient,こう配
whisker,ほおひげ
emancipate,解放する
husk,さや
slither,ずるずる滑る
galley,ガレー船
filth,汚いもの
solstice,夏至?冬至
pall,ひつぎ
stratum,地層
magnate,大立者
circumference,周囲
belie,正しく伝えない
ewe,雌羊
zenith,全盛
discomfiture,(計画などの)挫折
soggy,ずぶぬれの
cant,(職業などの)合い言葉
agile,機敏な
impervious,(物を)通さない
dilate,広げる
vat,大おけVAT
citadel,とりで
cove,無闇に欲しがる
condescend,恥じを忍んでする
typhoid,【病名】腸チフス
indolent,無精な
squid,【魚】イカ
turnpike,有料の高速道路
therein,その中に
extricate,救い出す
exchequer,国庫
shifty,やりくりのうまい
transitory,一時的な
clairvoyant,千里眼の
carousel,回転木馬
precept,(行動?道徳上?教え
abominable,忌まわしい
pique,《仏語》ピケ
stenographer,速記者
recuperate,回復する
buggy,乳母車
propensity,傾向
accolade,絶賛
glucose,ぶどう糖
glutton,大食家
ungainly,ぶかっこうな
peddler,行商人
abate,勢いを減らす
epitomize,の典型である
inquisitive,詮索好きの
forte,強み
quarantine,隔離(させる)
drudgery,いやな仕事
alignment,照準
pomp,壮観
crucifixion,十字架
extemporaneous,即興的な
cadence,拍子
panacea,万能薬
protrude,から突き出る
untenable,(議論などが)支持できない
lobe,耳たぶ
voluble,弁舌のさわやかな
condolence,悔み
hearsay,うわさ
laity,(宗教的に)俗人
blemish,傷つける
sod,【植物】芝生
egalitarian,人類平等主義の
onlooker,傍観者
pelt,立て続けに投げる
cower,縮こまる
corroboration,裏付け
molest,妨害する
nostril,鼻孔
polarize,対立する
rejuvenate,若返らせる
ostentatious,見せびらかしの
cognition,認識(力)
sabbath,安息日
sortie,空中戦
interlock,組み合わせる
borough,自治町村
quorum,定足数
rump,残り物
scowl,顔をしかめる
rind,外皮
facetious,冗談の
mutiny,暴動
insolent,おうへいな(arrogant
merriment,浮かれ騒ぎ
proviso,但書
angler,(特に趣味で)魚を釣る人
expound,説明する
perfunctory,いい加減な
autism,自閉症
bison,【動物】バイソン
satchel,学生カバン
hark,開く
ineligible,不適格な
collusion,《法》 通謀詐害
propagate,増殖させる
roost,休み場所
wavelength,波長
aegis,保護
daub,塗りつぶす
emissary,密使
escapade,脱線
adage,諺
