groom,花婿
oath,神名濫用
strand,座礁する(させる)
abolition,廃止
spotted,斑点のある
liable,責任を負うべき
toil,骨折り
brisk,きびきびした
density,密集度
delegation,代表団
auditorium,講堂
abusive,悪用された
zip,迅速に動く
pharmacist,薬剤師
symbolize,記号で表す
enchant,魔法をかける
bait,餌をつける
vertical,垂直な
eccentric,普通でない
queer,体の調子が悪い
scanty,わずかな
bias,バイアス
beware,用心する
specimen,見本の
undesirable,好ましくない
arctic,北極の
weird,超自然的な
disposition,性質
carving,彫刻物
wholesale,卸売する
affirm,肯定する
sparkling,光輝く
algebra,代数学
itch,かゆみ
wholesome,健康によい
destroyer,破壊するもの
swarm,いっぱいになる
talkative,おしゃべりな
binding,製本
pedestrian,歩行者
chick,《俗語》女の子
recite,学課を復唱する
socialism,社会主義
storehouse,倉庫
regime,政治制度
insane,気が違った
wretched,哀れな
breathless,息を切らした
drastic,程度が激しい
predecessor,前任者
lifeboat,救命艇
navigate,航行する
setup,事実関係
capsule,カプセル
shining,輝く
annoyance,苛立ち
madly,気が狂ったように
disbelief,疑惑
storekeeper,商店経営者
enforcement,励行
unchanged,不変の
dreamy,夢のような
hiss,シューと音をだす
tradesman,商人
execution,制作
bellybutton,
crab,【魚】カニ
wrestling,レスリング
avoidance,避けること
mediator,調停者
threshold,敷居
descendent,
coastal,海岸の
tranquil,のどかな
unofficial,非公式の
broadly,露骨に
uphill,困難な
duster,掃除人
mantle,マント
verbal,言葉の
abandonment,放棄
falsehood,うそ
humility,けんそん
canary,カナリア
lawful,法的に認められた
bestow,授ける
bulletin,公報
mustache,口髭
incentive,刺激的な
dutiful,従順な
emergence,出現
lorry,貨物自動車
vulgar,下品な
concise,簡潔な
superpower,異常[強大]な力
dining,dinnerを食べること
induce,生じさせる
altar,(教会)祭壇
seam,縫い目
continuation,延長
deceitful,うそつきの
courteous,礼儀正しい
pouch,小袋
discouragement,がっかりさせること
statistical,統計的な
simplify,単純化する
lighthouse,灯台
hound,猟犬で狩る
backing,裏うち
delegate,(仕事を)人に任せる
scandalous,あきれった
cling,くっついて離れない
citizenship,市民権
tolerant,寛大な
tolerance,寛容
referee,n2+v1
inclusion,n1
preferable,adj1
subsidiary,n2
pulse,n6
respectively,それぞれに
monstrous,ぞっとするような
steward,幹事
hurl,投げつける
responsive,adj1
desolate,adj2
lighten,v6
leopard,n2
allege,主張する
thereafter,adv1
curly,n1
mileage,n6
intelligible,adj1
scoop,v4+n4
luxurious,快楽を追い求める
improper,ふさわしくない
spoke,speakの過去形
presumably,おそらく
glare,睨み
splash,しぶきを立てる
pastor,牧師
weary,疲れた
oddly,奇異に
rake,くま手
chaotic,混とんとした
catastrophe,悲劇的結末
obstinate,頑固な(stubborn)
intersection,交差
trample,ドシンドシンと歩く
expertise,専門的技術(知識
hurdle,障害物
brute,けだもの
enhance,を増す
appetizer,食前酒
appendix,付属物
sanitary,公衆便所
ballot,(無記名)投票用紙
furious,すさまじい
encore,アンコール
reed,屋根のふきわら
criterion,規準
grumble,不満をもらす
genre,《仏語》様式
alcoholism,アルコール中毒
straightforward,そっちょっくな
dictation,書き取り
beverage,飲料
regrettable,遺憾な
bough,大枝
differentiate,他と別のものにする
collision,衝突
update,更新する
frightful,ぞっとするような
intake,(水などの)取入れ口
caption,に見出しをつける
junction,交差点
stab,刺す
reckon,勘定に入れる
forceful,力のある
wallpaper,壁紙
outgoing,出て行く
shadowy,影のある
fright,恐怖
comprise,包含する
appetizing,食欲をさそう
scornful,冷笑的な
trustee,受託会社
knuckle,げんこつ
corps,軍団
submission,服従
subtract,控除する
knowledgeable,知性のある
goldfish,【魚】キンギョ
prevailing,一般の
humid,【気象】湿度の高い
cultivation,耕作
playful,遊び好きの
clarify,明確にする
contractor,建築請負人
lotion,ローション
distort,ゆがめる
contradiction,矛盾
symposium,シンポジウム
greed,欲張り
warfare,戦闘状態
epoch,時代
wither,しぼませる
indignant,憤概した
resistant,抵抗力のある
chuckle,くすくす笑う
miner,坑夫
notwithstanding,それにもかかわらず
eastward,東方へ
quicken,速くする
uphold,支持する
pave,舗装する
constitutional,保健のための
ripen,成熟する
rebellious,反抗する
dishonor,屈辱をあたえる
deficiency,不足
tiresome,退屈
malice,悪意
rationality,合理性
audition,オーディション
marshal,整理する
patriot,愛国者
circulate,循環させる
cloakroom,クローク
corpse,死体
rim,リム
waver,揺れる
adore,崇め敬う
riot,暴動に加わる
emission,放出
dismal,気味の悪い
clutch,つかみかかる
knob,ノブを付ける
debut,《仏語》初舞台
furnished,家具付きの
lavatory,洗面台
assertion,主張
bimonthly,隔月の
apprentice,年季奉公人
cartridge,カートリッジ
accordance,一致
disastrous,悲惨な
subsidy,補助金
crutch,松葉杖
hairy,毛むくじゃらの
supervise,～を監督(管理)する
vibrate,振動する
lessen,小さくなる(する)
exquisite,優美な
hive,ミツバチの巣箱
sunbeam,太陽光線
superb,すばらしい
implore,に哀願する
buffet,打撃
soloist,独奏者
disgusted,うんざりした
indignity,冷遇
incorporate,具体化する
tramp,重い足音
longtime,
hush,落ち着かせる
miraculous,奇跡的
precede,～に先行する
churchyard,教会堂に隣接する庭
ironical,風刺的な
prop,支持者
limp,のろのろ進む
piercing,つんざく
edible,食用になる
axis,中心線
dismay,うろたえさせる
vaguely,漠然と
indicator,【自動車】方向指示灯
premier,首相
revelation,明らかになること
clatter,がたがた
commend,褒める
subdue,征服する
handwriting,手書き
orderly,きちんとした
reproach,の体面を傷つける
ashore,岸に
subsequently,後で
prophet,予言者
campaigner,運動員
centered,中軸をもつ
thesis,論文
chatter,おしゃべり
incidence,発生(率)
altitude,高度
optimist,楽天家
roundabout,ロータリ
gratify,満足させる
confidential,信用のできる
aggression,攻撃
notable,注目に値する
territorial,領土の
elevate,昇進させる
applicant,申込者
stationery,文房具
rotation,規則正しい交替
chancellor,衡平法裁判所判事
textile,織物
gargle,うがいをする
persuasive,説得力のある
monotonous,単調な
lonesome,人里離れた
fabric,構造
projection,投影
expenditure,支出(額)
foe,敵(enemy)
coincide,目方が相当する
monk,修道憎
pitiful,哀れな
refinement,精練
pathway,小道
payable,採算のとれる
seasoning,調味(料)
omission,遺漏
commonplace,日常事
hazard,危険にさらす
consequent,当然の
coffin,棺に入れる
envelop,覆い隠す
smog,スモッグ
editorial,社説
given,1
armored,装甲した
timing,タイミング
bridegroom,花婿
scarlet,深紅色
controller,支配者
unpopular,人気のない
zealous,熱心な
intensive,強烈な
supernatural,超自然の
freight,普通貨物運送
bosom,ふところ
compensate,補償する
inability,不可能
burnt,Burnの過去形
reconciliation,和解
chime,調和する
magnify,拡大する
precision,精密な
concession,利権
willow,【植物】ヤナギ
theoretical,理論的な
imprisonment,投獄
unhealthy,(道徳的に)不健康な
grease,進行を容易にする
anthropology,人類学
rug,じゅうたん
horseshoe,蹄鉄
erotic,性欲をかきたてる
factual,事実上の
bypass,迂回する
stopper,止め具
birthplace,出生地
understandable,理解できる
cordial,心からの
manifest,明白な
thicken,厚くする
rugged,ごつごつした
cylinder,シリンダー
satire,風刺
lease,賃貸借契約
jockey,騎手
recollect,思い出す
dormitory,寄宿舎
forum,評議会
choir,聖歌(隊)
teller,窓口係
diplomacy,外交
affectionate,愛情深い
vacancy,空き地
shawl,ショール
faultless,欠点のない
westward,西向きの
distorted,ゆがめた
quaint,古風で趣のある
functional,機能の
devour,むさぼり食う
clumsy,無器用な
den,動物の住む穴
optimism,楽天主義
virtuous,高潔な
alteration,改変箇所
hatch,(ひなを)かえす
stance,姿勢
diagnosis,診断
concede,認める
lecturer,講演者
blunt,ぶっきらぼうな
hare,【動物】ノウサギ
console,(人を)慰める
blink,まばたきする
unsure,自信がない
sponsorship,財政援助
leaflet,小葉状の部分
innumerable,数えきれない
cane,ステッキ
gracious,情け深い
linger,ぐずぐずする
invalid,効力のない
thicket,茂み
skim,上澄みをすくう
dome,丸天井
disposal,支配権
attorney,代理人
amend,修正する
creditor,債権者
injustice,不正
mortgage,抵当
municipal,市の
petition,嘆願
motivation,動機づけ
fury,憤慨
reprint,再版する
alarming,人を驚かせる
pious,信心深い
inclusive,包括的な
adoption,採用
takeout,取り出すこと
partake,加わる
tricky,扱いにくい
apprehension,心配
correspondence,文通
traitor,裏切り者
discomfort,不快にする
fascination,うっとりした状態
prevalent,普及した
confer,相談する
merciful,慈悲ぶかい
imposing,印象的な
motionless,動かない
landlord,地主
certify,証明する
pottery,陶器
barricade,妨害するもの
tempest,あらし
wanderer,歩き回る人
bracket,ひとまとめにする
chore,雑用
testify,証明する
unpredictable,予想できない
destined,運命づけられた
agenda,議題
kin,親族
domain,領地
sentimental,感情的な
nominate,推薦する
persuasion,説得する
handicraft,手先の熟練
conform,従って行動する
clown,おどける
wreath,花輪
stout,頑丈な
flake,ほぐす 薄片
calamity,不幸な出来事
sweeten,甘くする
err,誤る
turnover,離職率
pessimism,悲観主義
occurrence,出来事
sherry,シェリー酒
innocence,無垢
forsake,習慣をやめる
snail,【虫】カタツムリ
chestnut,栗の実
texture,織り目
approximate,おおよその
antarctic,(the ～)南極大陸
oppression,圧迫
contrive,考案する
pail,手おけ
bid,提案
feminine,女の
parsley,【植物】パセリ
Fahrenheit,【気象】華氏
misplace,置き場所を誤る
thoughtless,無分別な
exile,亡命者
cherish,抱く
selective,選択の
semifinal,準決勝(の)
administer,施行する
accompaniment,伴うもの
crude,天然のままの
embark,乗船させる
equator,赤道
calcium,カルシウム
latitude,緯度
eventual,終局の
intensify,強める
striker,ストライキをする人
rationalize,正当化する
directive,指令する
sergeant,軍曹
roller,ローラー
embrace,受け入れる
drowsy,眠けを誘う
developmental,発育の
duration,持続期間
undertaking,仕事
exclusion,排他
rotten,腐った
outfit,したく
magnitude,重要さ
advisory,助言の
divert,(注意などを)そらす
ancestry,先祖
dissatisfied,満足していない
forbidding,禁じる
enforce,押しつける
comforting,慰めとなる
ranch,大牧場
lottery,めぐり合わせ
formulate,定式化[公式化]する
traveling,巡回する
tumble,ころぶ
hinder,妨げる
gunshot,銃声
souvenir,記念品
contend,強く主張する
cone,円錐
insignificant,無意味な
communism,共産主義
reinforce,強化する
bankruptcy,倒産
messy,ごたまぜの
conspiracy,共同謀議
intrude,押し入る
nationalism,民族主義
cultivated,耕作されている
confide,打ち明ける
spear,槍(やり)
heighten,高める
menace,おびやかす
rash,向こう見ずの
giggle,くすくす笑う
bliss,この上ない喜び
serpent,【動物】ヘビ
squash,つぶれる
amazed,驚いた
witty,機知に富んだ
handshake,握手
tireless,疲れない
telecommunications,電気通信
barrack,(通例～s)バラック
feeder,飼養者
overturn,覆す
sensational,扇情的な
elastic,伸縮自在の(flexible)
preface,前置き
static,静止した
clockwork,ぜんまいじかけ
tedious,たいくつな
livelihood,暮らし
profess,はっきりと言う
qualified,資格のある
yarn,ほら話
incidentally,ついでながら
dictate,決定する
displace,取ってかわる
dogmatic,独断的な(家)
stiffen,こわばる
jug,水差し
contradict,に矛盾する
doom,(通例悪い)運命
metropolitan,首都の
anonymous,匿名の
situate,(ある場所に)置く
caravan,キャラバン
legislative,立法権のある
confirmation,売買報告書
furnace,厳しい試練
insulting,侮辱的な
shriek,かん高い声
plaster,しっくい
valve,バルブ
virtually,事実上
thaw,解ける
applicable,適用できる
feedback,フィードバック
detach,引き離す
utensil,器具
thrive,成長する(～ on)
polar,極地の
prune,切詰める
forthcoming,近くにやってくる
foggy,霧がかかった
luncheon,昼食をする
continuity,続き物
eminent,著名な
advantageous,有利な
linguistic,語学上の
hourly,一時間ごとの
airway,風道
disappearance,消失
outing,外出
surplus,黒字
tyranny,暴虐行為
shabby,みすぼらしい
hopefully,希望をもって
feverish,興奮した
expend,金銭を使い果たす
lapse,横道にそれること
inconvenience,不自由
shaft,シャフト
flush,紅潮
melancholy,憂鬱な
submarine,潜水艦 海底の
sip,すする
sprung,springの過去分詞形
civic,市民の
abbreviation,略語
tan,なめす
tanker,油送船
tolerable,我慢できる
exhausting,心身を疲れさせる
comprehensive,理解力のある
handout,施し物
raid,急襲
behold,《文語》見る
vocation,使命
loop,環状をなす折返し点
foresee,予見する
tidal,潮の(tideの形容詞)
dusk,たそがれ
comrade,同僚
rhetoric,【文法】レトリック
linear,線状に伸びる
slot,組み込む
seasonal,季節の
revealing,意義深い
fig,【植物】イチジク
invariably,いつも
prospective,見込みのあった
nationalize,国有[国営]にする
inactive,活動しない
slumber,無為に過す
communicative,話し好きな
quart,クォート(液量の単位)
ordinarily,たいてい
slang,スラング
aide,(大統領などの)補佐官
reconcile,和解させる
indispensable,欠くことのできない
plumber,配管工
hijack,乗っ取る
fraud,詐欺行為
dean,学部長
amendment,修正(条項)
rustle,衣擦れの音をさせる
indulge,欲望を満足させる
tile,タイル
dazzle,の目をくらませる
oppress,圧迫する
brochure,パンフレット(営業用)
prescribe,命令する
subscription,予約購読(料)
monarchy,君主政治
shadowy,影のある
rouse,の感情を高ぶらせる
disarmament,武装解除
interaction,相互作用
deafen,聴覚を奪う
surpass,優る
maple,【植物】かえで
barbarian,未開人の
skinny,皮と骨ばかりの
illuminate,明るくする
mover,引っ越し業者
nourish,に栄養分を与える
crust,皮
navigator,ナビゲーター
toll,料金
tasteful,風雅な
marsh,湿地
compartment,コンパートメント
overview,概観
conversion,転換
haul,(強く)引っ張る
engaging,人を引き付ける
footpath,(歩行者用の)小道
hind,後部の
clergyman,聖職者
contemplate,熟考する
barley,大麦
subsequent,それに続く
donate,寄付[寄贈]する
modification,緩和
stapler,ホッチキス
mentality,心情
liability,不利益となるもの
amen,アーメン
unskilled,未熟練の
arrogant,傲慢な(haughty)
mansion,大邸宅
eyelid,まぶた
ecology,生態学
rooster,おんどり
hoof,ひづめ
muse,熟考する
jeweler,宝石職人
exert,知力を用いる
sown,sowの過去分詞
tribute,貢ぎ物
ceremonial,儀式上の
guardian,保護者
disagreeable,不愉快な
boastful,高慢な
bruise,打撲傷
sexuality,性欲
realization,実現
dismissal,免職
poisoning,中毒
propaganda,宣伝
prestige,名声
recollection,思い出
inherent,本来備わっている
columnist,コラムニスト
sweetie,キャンデー
relay,新材料の供給
perpetual,絶え間ない
plump,どしんと落ちる
hereafter,今後(は)
mercury,水銀
operating,動作する
colonel,連隊長
kernel,核心
bowel,腸
eloquent,雄弁な
disciple,弟子
twig,認める
ridicule,あざける
snare,わなでつかまえる
horoscope,ホロスコープ
pronoun,【文法】代名詞
preside,議長となる
payer,支払人
cardboard,厚紙
perplex,当惑させる
commuter,通勤者
bureaucracy,官僚政治
clinical,客観的な態度の
peninsula,半島
hearth,暖炉の前
repent,残念に思う
legitimate,正当な
inland,奥地の
distributor,代理店
heed,～に気をつける
confrontation,対決
lash,むちで打つ
glacier,氷河
bandage,包体
autobiography,自伝
maturity,満期
dissatisfaction,不満
installation,装置
flattery,おせじ
suppression,抑えること
potluck,ありあわせの食べ物
enthusiast,熱狂者
flap,ぴしっとたたく
utterance,発声
prior,前の
sane,正気の
dividend,(公債利息
zeal,熱心
hostel,簡易宿泊所
diameter,直径
census,人口調査
gospel,ゴスペル(宗教音楽)
geology,地質学
senseless,意識を失った
evenly,一様に
memorandum,備忘録
reptile,爬虫類
geographical,地理的な
wring,絞る
hearty,食欲が旺盛な
exclamation,絶叫
usage,用法
sly,陰険な
flip,はじく
trifle,些細なもの
alternate,かわるがわる
abnormal,異常な
fasting,絶食
dispatch,急送する
botanical,植物学の
rot,やせ衰える
fringe,ふさ
planetary,惑星の
excel,しのぐ
shrub,低木
peg,くぎで止める
superstition,迷信
householder,家屋所有者
dose,一服
watering,散水
thunderstorm,【気象】雷雨
staple,止め金
husky,しゃがれた
uniformity,一様(性)
allied,同盟の
identifiable,同一証明できる
sullen,むっつりした
deem,意見をもつ
distract,気持ちをそらす
inexperienced,経験がない
subjective,主体の
withstand,抵抗する
barefoot,はだしの
splendor,輝き
lieutenant,中尉
respective,それぞれの
seaman,船員
consonant,調和する
enclosure,包囲
conceptual,概念上の
atmospheric,大気の
bouquet,花束
illumination,照明
adaptation,適応
chariot,(古代)戦車
