champagne,【地名】シャンパーニュ
orchestral,オーケストラの
highness,高潔
indecent,はれんちな
exemption,免税
humane,慈悲深い
depot,停車場
laborious,骨のおれる
retrospect,回顧
predominant,優勢な
northeastern,北東部の
upland,高地
shopper,買い物をする人
surmise,だと推測する
supersonic,超音速(の)
passable,通行できる
repute,とみなす
allot,割り当てる
deceptive,人をだますような
respondent,応ずる
repress,鎮圧する
detain,引き留める
kiosk,あずまや
obstruct,遮断する
distill,蒸留する
centralize,中央集権化する
earthworm,動物ミミズ
crunch,…をボリボリかむ
Messrs.,諸君
boulevard,《米》大通り
cameraman,写真家
slack,景気後退
inhuman,冷酷な
conditioner,添加物
contestant,競争者
unconventional,慣習にとらわれない
mare,【動物】雌馬
vocational,職業の(上)の
rink,スケート場
transcribe,転写する
fatherland,祖国
puzzling,困惑させる
infrastructure,インフラストラクチャ
modernize,近代化する
scholarly,学者らしい
poke,突く
stairway,階段
sociological,社会学的な
herring,【魚】ニシン
knockout,ノックアウト
widower,男やもめ
diverge,分岐する
colon,コロン
intrigue,興味をそそる
hippie,ヒッピー
moor,係留する
overestimate,過大評価する
animate,活気づける
trillion,兆の
freezing,凍る
ordeal,きびしい試練
alpine,高山の
tentative,試験的な
legitimacy,合法
hazy,もやのかかった
stimulant,刺激性の
spontaneity,自然さ
repressive,鎮圧の
grasshopper,【虫】バッタ
modem,モデム
bizarre,奇怪な
populous,人口の多い
torrent,ほとばしり
misguided,誤った
dictatorship,独裁者の権力
sarcasm,皮肉
lordship,支配権
twitch,急に引く
daffodil,【植物】ラッパスイセン
sanctuary,聖地
conjecture,推測する
intern,拘禁
angelic,天使のような
thong,皮紐(の鞭)
trump,切り札
participle,【文法】分詞
thermal,熱の
bowler,ボウリングをする人
shun,(～することを)避ける
crimson,深紅色(の)
rectangle,長方形
separable,分離できる
camouflage,カムフラージュ
misuse,誤用
casting,鋳造
radius,飛行半径
punctuation,句読
linguistics,言語学
duplicate,複写する
evacuation,撤退
beet,ビート
trolley,路面電車
seizure,つかむこと
infuriate,激怒させる
speculative,推測にふける
affirmation,断言
rigorous,厳格な
snug,こじんまりとした
porridge,《主に英》ポリッジ
disfigure,外観を台無しにする
hover,空中に舞う
mediocre,並みの
turbulent,(波風などが)荒れ狂う
mobilize,動員する
milestone,マイル標石
mindless,思慮のない
solicit,にせがむ
addicted,(麻薬などを)常習して
empower,権限を与える
holly,【植物】セイヨウヒイラギ
instantaneous,即座の
evacuate,避難[退避]させる
enlargement,引き伸ばし
righteous,正義の
captivate,(～の心を)捕える
midweek,週の真ん中
ha,Hawaiian Airlines ハワイ航空
heroism,ヒロイズム
broadcaster,放送出演者
wanting,頭が足りない
mystify,神秘化する
intermission,休憩時間
duchess,公爵夫人
icon,聖像
discreet,分別のある
flea,【虫】ノミ
radiant,さん然とした
poultry,【動物】家禽類
sensory,感覚(上)の
acoustic,音響上の
kindle,燃え立たせる
encircle,取り巻く
nucleus,細胞核
granddad,祖父
radioactive,放射能のある
empress,皇后
sliding,滑る
cocaine,コカイン
oblivion,忘却
defenseless,防備のない
mayonnaise,マヨネーズ
silvery,銀の(ような)
afar,(文語)遠く(farの方が一般的)
subcommittee,分科委員会
disconnect,ばらばらにする
warranty,正当な理由
ethic,倫理
mythology,神話学
converse,打ち解けて話す
rogue,わくぱく小僧
nutritious,栄養に富んだ
abstraction,抽象作用
holocaust,大虐殺
photocopy,写真複写
respectfully,うやうやしく
pedestal,台座
plume,【鳥】羽毛
carp,あら捜しをする
downstream,流れをくだって
tactics,戦術
janitor,管理人
renounce,要求を正式に放棄する
replica,模造品
impair,害する
reproductive,再生(再現)の
synthetic,総合的な
ye,なんじらは
gentry,紳士階級
penguin,【鳥】ペンギン
maxim,格言
specification,明細書
yielding,曲げやすい
optical,光学上の
supremacy,優位
unprecedented,先例のない
abort,流産する
taper,だんだん細くなる
squarely,四角に 公平に
sampling,サンプリング抽出
rig,(部屋などを)整える
thrush,【鳥】ツグミ
revolver,連発拳銃
insincere,誠意がない
rearrange,再整理する
receivable,受け取りうる
activate,放射能を与える
enrollment,登録
operative,働く
avert,避ける
northwestern,北西の
starch,澱粉
turf,なわばり
roadside,道端
diffuse,散らす
suggestive,思わせぶりな
discoverer,発見者
verge,接する
chauffeur,《仏語》[他](おかかえ)運転手
motif,《仏語》主題
impeach,非難する
aggressor,侵略者
placid,穏やかな
partition,区画
imperfection,不完全
extravagance,浪費
devotee,熱中する人
briefing,報告
unveil,のベール(おおい)をはずす
insensitive,鈍感な
foretell,予言する
maneuver,操作
aptitude,適性
reestablish,…を再建する
admittedly,明らかに
retrospective,回顧の
quartz,クオーツ
obsession,とりつくこと
foreground,(風景?絵画の)前景
sibling,きょうだい
haze,【気象】もや
psychic,心霊現象の
toothpick,ようじ
collaboration,共同研究
crescent,三日月
authoritarian,権威主義の[者]
digit,(おどけて)(人?動物?指
inappropriate,不適当な
recapture,取返す
intuitive,直観の
racist,人種差別主義の
bitch,complain
materialistic,唯物論の
setback,(景気)後退
condemnation,激しい非難
crave,熱望する
mosaic,モザイク
constituent,構成要素
gravel,じゃり
overt,公然の
insecure,不安な
environmentalist,環境問題研究家
badger,しつこく苦しめる
retention,保持(率)
evoke,呼び出す
zigzag,ジグザグ形
meager,乏しい
imprudent,無分別な
parish,教区(民)
degrade,退化させる
unpack,の梱包を解く
intestine,腸
maximize,極大化する
animated,活気に満ちた
devalue,
predicate,断定する
emigrant,移民
sinister,不吉な
godmother,教母
snub,けんつく
monologue,独白劇
southwestern,南西の
discourse,会談
tangible,触れることのできる 具体的な
attest,証明する
jest,しゃれ
auditor,監査役
harness,馬具
programmer,プログラマー
coherence,coherency
siege,包囲攻撃
individualism,個人主義
eclipse,食
readable,おもしろく読める[書かれた]
tuition,授業料
burdensome,やっかいな
lucrative,有利な
dioxide,二酸化物
jackpot,積立賞金
contradictory,矛盾した
tumult,動揺
gorge,に詰め込む
artful,巧妙な
italic,イタリック体の
prank,戯れ
tutorial,家庭教師の
lesbian,レスビアン(の)
solicitor,勧誘員
steeple,尖塔
prone,しやすい
electrify,電気を流す
sift,ふるいにかける
sewer,下水道
resourceful,機知に富んだ
futile,無駄な
objectivity,客観性
workable,運転できる
juggle,(交互に)首尾よく果たす
curb,(犬などを)鎖で御する
devoid,欠けていて◆deficient
computing,コンピュータの使用
ruthless,容赦ない
dub,(ナイトの位を)授ける
complacent,自己満足の
commercialism,コマーシャリズム
cheeky,
extinction,消滅
yolk,羊毛脂
evolutionary,進化した
lovable,愛敬のある
denounce,非難する
pane,窓ガラス
disobedient,服従しない
awesome,すごい
woodwork,木工品
speechless,ものが言えない
blooming,花の咲いた
irrigate,(土地に)水を引く
jack,引き上げる
hoe,くわ
synthesize,総合する
transit,通過する
immeasurable,測りえない
overdue,(支払い)期限をすぎた
dynasty,王朝時代
rustic,飾り気のない
inventory,物品明細表
lamppost,街灯の柱
silicon,シリコン
punctuate,(に)句読(クトウ)点を付ける
unwelcome,歓迎されない
precedent,先行詞 前例
forcible,強制的な
yearning,切望している
daze,の目をくらませる
opt,選択する(～ for
handmade,
heiress,女相続人
militant,攻撃的な
admittance,入場許可
din,騒ぎ
flair,鋭い勘
naive,あどけない
publicize,公表する
designation,指示
darn,繕う
legislature,立法府
notorious,悪評の高い
snob,紳士気取りの俗物
anarchy,無政府
transitional,移り変わりの
pervade,に行きわたる
uninterrupted,連続する
bondage,束縛
cowardice,臆病
suite,一続きの部屋
jigsaw,…を糸のこで切る
exertion,権力を用いること
unidentified,身元不祥の
conditioning,心理学条件づけ
jointed,継ぎ目のある
pact,契約
preparatory,入学準備の
lavish,浪費する
deter,(恐怖などで)やめさせる
homosexuality,
barbarism,野蛮
thou,なんじは
plummet,錘
phonetic,音声(学)の
rediscover,再発見する
petroleum,石油
lighthearted,のんきな
recreational,休養の
inefficiency,無能
ingenuity,発明の才
propeller,プロペラ
disclosure,暴露
dubious,あいまいな
taint,汚れる
bog,沼にはまる
humanist,人間主義者
anarchist,無政府主義者
manipulate,操作する
incur,にぶつかる
throng,に群がる
apathy,無感動
preview,試写する 予告編
unprepared,準備なしの
unnoticed,注目されない
skeptical,懐疑的な
muscular,たくましい
metro,メトロ
nick,ぴったりの時刻
mournful,悲しみに沈んだ
subtlety,微妙な考え
latch,掛金 掛け金が掛かる
regiment,連隊
lifelike,生きているような
steamboat,蒸気船
visualize,目に見えるようになる(する)
tumor,膨らみ
obstruction,じゃま
repression,抑圧
refund,払戻し
stifle,(声や感情を)抑える
shaped,形をした
hypocrite,偽善者
judiciary,司法の
collaborate,共同でする
miser,けちんぼ
painstaking,骨の折れる
showroom,陳列室
nutrient,栄養物
absurdity,不合理
carefree,のんきな
maternal,母らしい
agitate,扇動する
redundancy,余剰性
cedar,【植物】ヒマラヤスギ
cultivator,耕作者
gifted,才能がある
astray,邪道に入って
agonizing,苦しみもだえる
inference,推論
shoplift,万引きする
laser,レーザー光
glisten,きらきら輝く
oversee,監督する こっそり見る
pointless,先のない
spectrum,範囲
allergic,アレルギーの
intolerance,耐えられないこと
impotent,無力な
verify,証明する
cauliflower,ハナキャベツ
pretext,口実
sanction,是認
sequel,【映画】続篇
reservoir,貯蔵所
shoelace,靴ひも
pickup,ピックアップ
irrelevance,不適切
gunpowder,火薬
vogue,流行
chant,詠唱(する)
kidney,性格
droop,だらりとたれる
manipulation,操作
battlefield,戦場
frugal,節約する
chunk,(チーズなどの）かたまり
purge,浄化
psychiatrist,精神医学者
distracted,乱れた
fusion,核融合
residue,残余
affix,添付する
perverse,つむじ曲がりの
phenomenal,自然現象の
persevere,我慢する
mechanics,力学
unsold,売れない
amiable,愛想の良い
simulation,シミュレーション
behavioral,行動の
platonic,純精神的な
harass,悩ませる
flaw,割れ目
compassionate,あわれみ深い
pollutant,汚染物質
amplify,拡大する
blacken,黒くなる
childbirth,
indefinitely,限りなく 漠然と
perpetuate,永続させる
breeder,飼育者
reindeer,【動物】トナカイ
nudity,裸
premature,早すぎる
botanist,植物学者
constable,警官
periodic,定期的な
aerobic,エアロビクス
incompatible,相いれない
gust,突風
dissent,意見を異にする
aloof,離れて
bellboy,
variously,いろいろに
apiece,一つにつき
grandeur,雄大
freshen,いきいきとする
spinner,紡績工
elasticity,弾性
retrace,さかのぼる
pry,覗く
incoherent,首尾一貫しない
seeming,うわべの
reminiscence,追憶すること
nip,犬が噛む
marital,夫婦の
generator,発電機
boarder,下宿人
waistcoat,チョッキ
dreary,荒涼とした
verdict,(陪審員の)評決
inborn,先天的な
observatory,天文台
damned,のろわれた
prototype,プロトタイプ
breeding,子を産む
linguist,諸外国語に通じた人
affluent,豊富な
watery,気の抜けた
piety,敬けん
noteworthy,注目に値する
denote,示す
sinner,罪人
banjo,バンジョー
redden,赤くする
sherbet,シャーベット
rectangular,長方形の
bottomless,底のない
conversely,逆に
epic,叙事詩の
constituency,有権者
hectic,興奮した
sheriff,郡保安官
distortion,歪み
silhouette,シルエット
unloved,愛されていない
stereotype,ステレオタイプ
butler,執事
horrid,ひどくいやな
utopian,ユートピアの
lime,にわなをかける
bin,(ふた付の)大箱
scripture,聖書
tattoo,帰営らっぱ[太鼓]
contention,争い
playwright,劇作家
embody,具体化する
ecstatic,夢中
marijuana,マリファナ
thump,ごつんと打つこと
elaboration,念入りに作り上げること
massacre,大虐殺
egoist,利己主義者
disruptive,破壊的な
spreadsheet,スプレッドシート
bonfire,焚火
potent,強力な
utopia,ユートピア
boon,恩恵
manifesto,宣言(書)
peek,そっとのぞく
adequacy,妥当性
haven,(避難)港
plateau,高原
merchandising,マーチャンダイジング
reciprocal,相互交換の
layman,素人
lukewarm,生温い
evaporate,乾燥させる
forefinger,人差し指
biotechnology,生命工学
irrigation,潅がい
transmitter,送信器
lyrical,叙情詩調の
unintentional,故意でない
subscribe,の援助を与える
retrieve,回復する
fictional,虚構の
squad,班
mimic,(mimicked
incidental,ありがちな
intolerant,がまんできない
distaste,嫌い
egoistic,利己的な
layoff,一時帰休
feat,偉業
congenial,性分にあった
meek,柔和な
contemptuous,軽蔑を示す
matrix,母体
bomber,爆撃機
exempt,免れさせる
rebuke,人を責め咎める
deduction,控除
petty,つまらない
tart,ぴりっとした
interim,当座の
wording,言葉遣い
barometer,(気象)晴雨計
ply,傾向
signpost,道標
freak,～気違い
clog,動きを妨げる
reef,鉱脈
inconceivable,想像もつかない
pester,悩ませる
fixture,固定物
swollen,swellの過去分詞形
puddle,水たまり
boulder,ゴロタ石
entrust,に任せる
negotiable,交渉できる
ponder,思案する
loaded,(荷物を)積んだ
aquatic,水中の
deteriorate,悪化させる
endorsement,裏書き
scrutiny,精密な調査
neutralize,中立化する
fragrant,においのよい
assassin,暗殺者
alternately,交互に
severity,厳格
commemorate,記念する
elemental,自然の力による
sled,そりで行く
obligatory,義務的な
immune,免疫の
intrinsic,本質的な
enlighten,啓蒙する
sonata,ソナタ
racism,民族優越観
automotive,自動の
confound,混同する
reminder,思い出させる人(物)
gratification,満足
socioeconomic,社会経済の
temporal,現世の
suicidal,自殺の
uranium,ウラニウム
salvation,救世(主)
cynical,皮肉な
monopolize,独占する
swoop,さっと舞い降りる
erroneous,誤った
contour,等高線
monotony,単調
momentum,はずみ
armful,腕いっぱい
alienate,遠ざける
hygiene,衛生(学) 衛生状態
undermine,密かに傷つける
decree,法令
actuality,実在
bran,ぬか
unification,統一
rectify,調整する
flashing,建築雨押さえ
syndrome,シンドローム
circumstantial,付随的な
gaily,陽気に
contaminant,汚染物質
privileged,許される
compulsive,強制的な
discord,不一致
anytime,いつでも
cult,儀式 礼讃
temperance,節制
surgical,外科手術の
inconsistency,矛盾
swap,スワッピング
subscriber,予約購読者
gutter,溝
synonym,【文法】類義語
pickle,ピクルス
deduct,控除する
plaque,額
oversight,見過ごし
pensioner,年金受給者
cosmic,秩序整然とした
aggravate,悪化させる
gravestone,墓石
receptor,生理受容器官
desirous,欲している
spank,尻を平手打ちする
fabulous,架空の
compulsion,無理強いされた状態
vendor,行商人
principally,主に
automate,自動化する
interviewee,インタビューされる人
loyalist,忠臣
ebb,引き潮
sovereignty,主権
excerpt,(本などからの)引用(句)
norm,基準労働量
spinning,回転
psychiatry,精神病学
censorship,検閲(制度)
woe,悲痛
unavailable,利用できない
whereby,なにによって
superintendent,監督[指揮]する 監督者
morale,勤労意欲
anecdote,逸話
conceited,自惚の強い
celestial,天国の
eventful,出来事の多い
intimidate,怖がらせる
validity,有効期間
unconcerned,心配しない
oddity,風変わりな人
pinnacle,頂点
segregate,分離する
coastline,海岸線
acceleration,加速
soaked,ずぶぬれの
doze,まどろむ
sling,パチンコ(投石器)
deposition,罷免
inconclusive,結論に到達しない
stepmother,義母
comprehensible,理解できる
antiquity,古代
adorable,ほれぼれする
void,空の
intricacy,複雑
childless,子供のない
slab,厚板でおおう
splinter,破片
archbishop,(カトリックの)大司教
yoke,にくびきをかえる
cuisine,料理
liberalism,自由主義
ceaseless,絶え間ない
mistrust,信用しない
watertight,防水の
imperialism,帝国主義
inflammation,燃焼
conformity,一致
caretaker,留守番
muffin,マフィン
showy,人目を引く
dogma,独断的な考え
trickle,したたる
hazardous,冒険的な
assertive,断定的な
caterpillar,いも虫
assimilate,消化する
undone,undoの過去分詞
longevity,長生き
billiards,玉突き
enrage,ひどく怒らせる
superstar,スーパースター
obsolete,すたれた
drought,日照り
debatable,論争可能な
downfall,大降り
differential,差別的な
valuation,評価
lethal,致命的な
munch,むしゃむしゃ食う
barter,物々交換する
cheery,明るい
illegitimate,非嫡出の
villain,悪者
cholesterol,コレステロール
frivolous,取るに足らない
reenter,…に再び入る
localize,一地方に集まる
bust,(現行犯で)逮捕する
pinpoint,つきとめる
apprenticeship,見習い
misfit,合わないこと
unleash,解放する
reversal,逆転
soybean,大豆
submissive,服従的な
analogous,類似している
stepfather,継父
honk,(警笛)を鳴らす
chronicle,年代記
exceeding,過度の
fishy,魚臭い
feudal,封建の
renewable,継続する
madden,激怒させる
loading,荷積み
curfew,夜間外出禁止例
insecurity,不安定
irresistible,抵抗できない
ledge,出っ張り
ravage,荒らす
secular,俗人の
polished,磨き上げられた
pulp,果肉
subdued,(感情を)押し殺した
subgroup,下位群
entice,誘惑する
parasite,寄生動物
evergreen,常緑の(?deciduous)
sturdy,がんじょうな
fingertip,指先
herald,先触れする
allocation,割り当て
consolation,慰める人
recurrence,再発
wail,声を上げて泣く
organizer,組織者
squeak,キーキー音を立てる
repentance,後悔
renowned,有名な
illogical,非論理的な
inescapable,逃げられない
lengthy,長たらしい
clearance,取りかたづけ
skepticism,懐疑主義
vegetation,(集合的に)植物
browse,～にざっと目を通す
sustainable,維持できる
runaway,逃亡した
taboo,禁止された
recur,物事が再び起こる
snowball,雪だるま式に増える
effortless,努力を要しない
abbreviate,短くする
unrest,(社会的な)不安
cuddle,抱いてかわいがる
reunion,再会懇親会
sardine,【魚】鰯 詰め込む
stirring,感動的な
spokesperson,
outnumber,数で勝る
avalanche,雪崩
coke,コークス
spiral,らせん的状に進む
congestion,港での船混み
misdirect,あて先を誤る
tribunal,裁き
astronomical,天文の
