chimney,煙突
lens,レンズ
reject,提案を受け入れない
jar,がたがた揺れる
possibly,多分
tin,錫(スズ)
curl,縮らす
deer,【動物】シカ
distribution,分配
politics,政治
vague,ばく然とした
offense,違反
recent,近頃の
respond,に応答する
trousers,ズボン
onto,の上に
handbag,ハンドバッグ
review,復習する
boast,自慢する ～をもつ
casual,さりげない
kangaroo,【動物】カンガルー
operation,操作
industrial,産業の発達した
brow,額
pence,ペンス
mask,マスク
bookshelf,本棚
recommend,推薦する
application,保険申込書
addition,追加
highway,主要ルート
selfish,わがままな
vest,ベスト
delay,～を遅らせる
atom,原子
broccoli,(野菜)ブロッコリ
atomic,原子の
suspect,ではないかと疑う
yacht,ヨット
slight,わずかな
sunrise,日の出
carbon,炭素
daytime,昼
available,効力のある
classic,規範となる
exception,例外
jail,刑務所
encourage,勇気づける
unknown,未知の
lately,近ごろ
threat,脅迫
justice,正当性
principle,原理
particularly,特に
pear,【植物】西洋ナシ
lightly,もったいぶらずに
stolen,stealの過去分詞形
majority,大部分
eager,熱望して
cart,荷車
comb,くしですく
visual,視覚の
plum,すばらしいもの 西洋スモモ
sunny,明るく日が照る
drawer,手形振出人
chin,あご
ashamed,恥ずかしがって
terribly,恐ろしく
housing,保護するもの
instrument,手段
visa,査証
patrol,パトロール(隊)
kindly,思いやりのある
slave,あくせく働く
ray,一筋の光明
sweatshirt,スウェットシャツ
lunchtime,昼食時
inner,内部の
defeat,挫折させる
garlic,ニンニク
mainly,主に
assistant,援助する
signature,テーマ音楽(看板となるもの
rapidly,急速に
aloud,声を出して
chimpanzee,【動物】チンパンジー
cafeteria,カフェテリア
found,設立する
institution,会
hundredth,100番目の
anymore,今では
bargain,交渉する
extra,割増料金
kite,(空に上げる)凧(たこ) 
swear,～に誓わせる
spoil,悪くなる
firefighter,消防士
underground,反体制の
previous,前の
delight,喜び
shelf,棚
reform,改心させる
educational,教育上の
item,品目
cancel,無効にする
elect,当選した
listener,聞き手
maintain,主張する
differently,異なって
selfish,わがままな
percentage,パーセンテージ
unlucky,不運な
bookseller,本屋
journalist,ジャーナリスト
bark,犬の吠え声
fairy,同性愛の男性
telegram,電報
tank,タンク
jealous,嫉妬深い
alike,差別なく
tailor,仕立屋
section,地区
situation,状態
twist,糸をよる
specially,特に
interrupt,中断する 遮る
permanent,永久の
senior,年上の(人)
lettuce,【植物】レタス
whale,鯨
principal,重要な
political,賢明な
gradually,ゆっくりと
doing,すること
tap,盗聴
beginner,初心者
beast,獣
government,政府機関
mistaken,Mistakeの過去分詞形
pose,ある性格を装う
seaside,海岸の
roast,ロース肉
ambulance,救急車
performance,パフォーマンス
selection,選抜
expert,熟達した
confidence,秘密
loaf,パンの一塊
jelly,ゼリー
chemical,化学作用による
clothe,(衣服を)着せる
crush,押し潰す
surface,表面(の)
dirt,ごみ
skill,熟練
transfer,転勤させる
spice,スパイス
sickness,病気
belief,信じること
label,ラベル
neglect,ほったらかす
ugly,醜い
farther,(距離的に)もっと遠い
target,～を的にする
funeral,葬儀
goalkeeper,ゴールキーパー
range,範囲
glance,反射してきらめく
postman,郵便集配人
essential,本質的要素
postcard,郵便はがき
stiff,こわばった
bare,露出させる
hip,でん部
major,大手の
organization,組織化
author,張本人
sample,試供品
joint,《俗語》たまり場
admit,収容できる
beg,請う
businesswoman,businessmanの女性形
offend,怒らせる
remind,思い出させる
delighted,うれしい
environment,周囲の状況
jeep,ジープ
luggage,手荷物
channel,海峡
ordinary,普通の
supporter,サポーター
schedule,表に作る
shave,髭剃り
mixer,ミキサー
absolute,絶対の
cruel,(人が)ひどい
location,記憶装置の割振り場所
chapel,礼拝堂
fortunately,運よく
gossip,うわさ話をする
therefore,従って
concern,関係がある
self,自分
series,シリーズ
credit,(作品
boxing,ボクシング
trend,流行
excite,興奮させる
suitable,ふさわしい
audio,可聴周波数
employment,職業
settle,安定させる[する]
typical,典型的な
wound,windの過去?過去分詞形
profession,専門的職業
improvement,改良点
reaction,反作用
romantic,ロマンテックな人
argue,説得する
crayon,クレヨン
whenever,ときはいつも
dawn,夜明け(daybreak)
complaint,告訴する
indeed,ほんとうかい
essay,随筆
telescope,望遠鏡 はまり込む
employee,被雇用者
sincere,誠実な
pointed,先のとがった
olive,(色)オリーブ
wax,ろう
occupy,に居住する
sympathy,同情
throughout,完全に
sandal,サンダル
porch,ベランダ
yogurt,
obvious,明らかな
economy,経済組織
goat,好色漢
sore,痛い
arrow,矢
hunger,空腹
hint,ヒント
bind,束縛する
affair,出来事
threaten,脅す
pressure,圧迫
pity,哀れと思う
victim,犠牲者
carriage,乗り物
nickname,にあだ名をつける
neighborhood,近所の人々
specialist,スペシャリスト
import,輸入(する)
goose,【鳥】ガチョウ
asparagus,アスパラガス
attach,張り付ける
omelette,オムレツ
average,平均的な 通常の
vase,花瓶
volume,分冊
satisfy,納得させる
split,～を分配する
jaw,あご
sadly,悲しそうに
invent,発明する
wheat,小麦
bless,神聖にする
translate,言い換えられる
link,連結するもの
committee,委員会
tone,～に調子をつける 調子
staff,スタッフ
pumpkin,【植物】カボチャ
loose,容器に入っていない
safely,無事
aircraft,航空機
introduction,採り入れ
data,データ
harmony,ハーモニー
closely,きっちりと
ease,慎重に動かす
trunk,《米》(車の)トランク
learned,学問のある
relate,関係づける
mount,取り付ける
forth,前方へ
fancy,空想する
pile,積み重ね
fur,毛皮(製品)
bitter,苦々しい
widely,広く
compact,ぎっしり詰まった
elsewhere,ほかの場所に
paradise,楽園
housewife,主婦
element,要素
frame,フレーム
interview,インタビュー(する)
payment,支払い
automatic,自動の
baggage,手荷物
crop,刈り込む
vast,広大な
additional,追加の
napkin,ハンカチ
huge,でっかい
appeal,上訴する
fountain,泉
entire,全部揃った
soil,きたない物
permission,許可
influence,促す
eastern,東の
cocktail,カクテル
northern,北部出身の
sometime,いつか
sales,販売
palm,掌
organ,オルガン
lemonade,レモネード
gently,育ちがよく
tune,曲
loan,貸し付ける
desire,要求する
statement,陳述
wrist,手首
helmet,ヘルメット
bowling,ボウリング
proposal,申し込み
horizon,地平線
conscious,意識的な
development,発達
cabbage,キャベツ
suck,ひとすすり
reading,読書力
roughly,おおよそ
rubber,ゴムタイヤ
ankle,くるぶし
homemade,自家製の
guilty,罪の意識がある
lover,恋人同士
union,労働組合
ignore,(意図的に)無視する
southern,南方の
flash,フラッシュ
engineering,工学
theory,理論
finance,財務
deck,デッキ
dull,苦痛を和らげる
conduct,振る舞い
function,機能
wrap,包む
surround,囲む
lecture,小言を言う
lung,人工呼吸装置
tightly,きつく
drugstore,ドラッグストア
entertainment,もてなし
regret,気の毒に思う
physical,物質の
living,生命のある
response,反応
operator,(少し皮肉っぽく)敏腕な人
slightly,わずかに
operate,作動する
printer,プリンタ
teaching,教え
attitude,態度
scale,目盛り
triangle,三角定規
totally,すっかり
largely,主として
chase,追跡する
walking,歩行用の
tablecloth,テーブルクロス
bull,乱暴なことをする
relative,比較上の
minor,より小さい
spin,～を(勢いよく)回転させる
keen,しみじみとした
explorer,探検家
injury,傷害
robe,職服を着る
violence,狂暴性
hometown,現在住んでいる町
winning,決勝の
attract,引き付ける
silently,黙って
bathtub,浴槽
motorboat,モーターボート
nonsense,たわごと
muscle,力ずくで進む
democracy,民主主義
anyhow,なんとしてでも
pigeon,【鳥】鳩 若い娘
achieve,成し遂げる
smart,ずきずき痛む
beneath,の下に
melody,メロディー
various,様々の
combination,化合
cushion,クッション
search,探索
pitcher,ピッチャー
being,生き物
unit,(学科の)単位
calmly,静かに
gasoline,【車】《米》ガソリン
grip,握力
ideal,理想にかなった
contact,接触
stadium,スタジアム
somewhat,幾分
useless,役に立たない
revolution,大改革
unexpected,意外な
orchestra,オーケストラ
clothing,衣類
dramatic,劇的な
refuse,申し出を断る
shame,残念
reflect,の像を映す
shell,骨ぐみ
hen,【鳥】メンドリ
fry,油で揚げる
challenge,挑戦する
transport,～を運ぶ
merely,ただ
instruction,教授
receipt,受け取ること
loss,浪費
release,釈放する
universe,宇宙
research,調査する
project,投影する
stroke,打撃
bore,うんざりさせる
relief,困難の除去
wage,(戦いなどを)遂行する
vision,想像力
calm,落ち着いた
quarrel,喧嘩
sack,小袋
rub,障害
fortune,社会的地位
pub,《主に英》パブ
unusual,異常な
personality,個性
kiwi,鳥類キーウィ
crime,罪
treat,を取り扱う
means,意味する
effective,有効な
attempt,試みる
approve,賛成する
dismiss,解雇する(fire)
spy,ひそかに調査する
cleanly,きれい好きな
backyard,裏庭
ruin,廃墟
announcer,アナウンサー
avenue,並木道
economic,実用的な
grandchild,孫
poetry,詩歌
vitamin,ビタミン
wildly,激しく
ceremony,宗教儀式
bathe,水浴させる
believer,信じる人
written,文書の
network,ネットワーク
mushroom,マッシュルーム
criminal,犯罪の
passion,激情
pill,丸薬
breed,子を産む
responsibility,支払い能力
confirm,確実にする
pace,歩調を整えて歩く
tray,盆
stock,ストック
entirely,全く
collector,光捕集器
politician,政治家
grant,かなえる
connection,つながり
rob,盗む
independent,他に依存しない
reality,現実
rely,期待をかける
liberty,気まま
battery,電池
upset,ひっくり返す
covering,カバーする
determine,問題を裁決する
seashore,海浜
chairman,司会者
thus,このようにして
lower,低くする
marriage,結婚(生活)
refrigerator,冷蔵庫
playground,運動場
saving,節約する
kitty,子猫
meantime,合い間
extremely,極端に
flock,ヤギの群れ
necessity,不可欠な存在
whatever,なんでも
sum,金額
partner,パートナー
moonlight,月光
blouse,ジャケッツ
relationship,関係
fond,愛情のこもった
adopt,養子にする(養女)にする
pianist,ピアニスト
export,輸出(する)
wagon,乳母車
hopeful,望みを抱いている
regulation,取り締まり
cell,密室
probable,ありそうな
firstly,まず第一に
feature,顔の一部
communicate,知らせる
governor,統治者
lap,(犬
soul,精神
advantage,好都合
secondly,第2に
kingdom,王国
motion,動き
sour,酸っぱい
access,にアクセスする
informal,正式でない
toast,きつね色に焦がす
studio,スタジオ
cupboard,食器だな
plus,を加えて
escalator,エスカレーター
ladder,はしご
wealthy,富んでいる
benefit,恩恵
risk,損害の恐れ
suggestion,提案
earthquake,地震
arch,アーチ
handy,耐久力のある
waist,腰のくびれ
stocking,ストッキング
koala,【動物】コアラ
avoid,無効にする
decrease,減少させる
cure,治療する
rid,自由にする
seed,種
pistol,ピストル
hunter,狩猟訓練をした動物
select,選ぶ
atlas,地図帳Atlas
survive,切り抜けて生きる
increase,大きくなる
argument,議論
saw,seeの過去形 ことわざ
glue,接着剤でつける
fashionable,流行の
bunch,仲間
attractive,魅力のある
alcohol,アルコール
teapot,きゅうす
frightened,驚ろいた
timetable,時刻表
variety,多様性
feather,羽
screen,スクリーン
helpless,無力な
pale,色を失った
moustache,口髭
raincoat,レーンコート
babysitter,ベビーシッター
license,の出版(興行)を許可する
sausage,ソーセージ
leading,先導する
teacup,茶碗
opportunity,機会
basement,地下室
insist,(強く)主張する
brand,汚名を着せる
sexual,
boxer,ボクサー犬
specific,特有の
cassette,カセット
swell,増大する
coffeepot,コーヒーポット
cliff,がけ
lid,ヘルメット
expense,経費
slope,傾斜する
guy,支索
ketchup,ケチャップ
chart,チャート
announcement,発表
religion,信条
disappoint,の期待にそむく
technique,方法
vehicle,乗り物
harp,ハープ
zone,地帯
whistle,笛
phrase,言いまわし
recognize,(見てそれと)知る
lane,狭い道
truly,本当に
temperature,【気象】温度
bakery,パン屋
teammate,チームの一員
kitten,子猫
continent,自制心のある 大陸
witness,(法廷などでの)証人
academic,純粋学問の
traditional,伝統的な
bullet,(小銃の)弾丸
sensible,(人?行動など)分別のある
typewriter,タイプライター
lightning,【気象】稲光
represent,～の代理を勤める
