proven,証明された
playmate,遊び仲間
elective,選挙で選ばれた
oriental,東洋の
circular,円形の
exceed,(程度?限度など)を越える
fighter,戦う人
devotion,深い愛情
missile,ミサイル
risky,危険な
cricket,クリケット
comedian,コメディアン
passionate,熱烈な
infection,伝染病
assumption,仮定
folder,書類はさみ
grieve,(深く)悲しませる
schoolbook,教科書
alert,(形)油断のない
colonist,植民地の住民
canvas,～を念入りに調べる
industrious,勤勉な
abandon,断念する
relieve,苦痛を軽くする
marathon,マラソン
snatch,ひっつかむ
petrol,《英》【車】ガソリン
arena,競技場
provincial,田舎風な
biological,生物学の(上)の
stride,大股で歩く 一またぎ
consensus,大多数の意見
productive,生産的な
quote,値をつける
paperback,紙表紙本
Catholic,普遍的な
crossroad,交差道路
oyster,【魚】牡蛎
undergo,経験する
Christianity,【宗教】キリスト教
phenomenon,現象
mango,植物マンゴー
rising,のぼりつつある
disgusting,むかつく
organist,オルガン奏者
invasion,侵入
schoolhouse,校舎
facial,美顔術
consent,同意する
profile,プロフィール
genuine,本物の
famine,飢きん
random,でたらめな
prescription,処方(箋
abolish,廃する
supreme,最高の
approximately,おおよそ
install,就任させる
awe,畏敬
knitting,編物
graph,グラフ
oblige,恩義を施す
drier,ドライヤー
progressive,進歩的な
headline,見出し
elegant,上品な
warming,
prudent,分別のある
uncertainty,不確実さ
vow,誓い
rightly,正しく
insure,に保険をかける
promptly,すぐに
confused,困惑した
ballet,バレエ
workshop,職場
consumption,肺病
flexible,まがりやすい
similarity,類似点
bulb,真空管
nightmare,うなされること
exhausted,疲れ果てた
sustain,支持する
hasty,早まった
capitalism,資本主義
declaration,宣言
educated,教養のある
refusal,取捨選択
standing,立っている
evolution,進化(論)
harmless,損害をうけない
experimental,実験の
awkward,扱いにくい
psychological,心理的
dominate,支配する
extensive,広大な
numerous,おびただしい
parasol,日がさ
offensive,不快な
behalf,利益
forgetful,忘れやすい
unity,統一
frown,しかめ面
proclaim,宣告する
prominent,突き出た
riches,富
graceful,しとやかな
championship,選手権
mentally,心で
dip,下落
limitation,制限
independently,自主的に
daylight,昼の明かり
procession,進行
faithfully,忠実に
specialize,特化する
ballpoint,ボールペン
literally,文字通りに
dense,密集した
specifically,明確に
contribute,貢献する
react,反応する
listing,表の作成
provision,但し書き
abundant,豊富な
guideline,指針
touching,ほろりとさせる
brim,溢れそうになるなる
desperate,死にもの狂いの
salesperson,セールスマン(nonsexist)
dispute,議論
commander,海軍中佐
click,カチンという音
currently,現在(のところ)
confine,境界
sneeze,くしゃみ(をする) 馬鹿にする
graphic,グラフィック
accustomed,いつもの
barrier,防壁
thinly,thin
obligation,負担
bulk,大部分
printing,印刷
nightdress,寝巻
chamber,公式の間
destiny,運命
contemporary,現代の
moderate,控えめの
rib,あばら骨
daring,大胆な
medieval,中世の
accustom,習慣づける
evaluate,～の価値を見い出す
suicide,自殺
expedition,探検
someday,いつか
shipping,船積みする
accomplishment,達成
recess,奥まったところ[場所]
highlight,最も明るい部分
compromise,妥協する
biology,生物学
protective,保護用の
blueberry,ブルーベリー
fluent,ゆったりとした
rugby,ラグビー
prevail,流行する
hilltop,丘の頂上
edit,編集する
historian,歴史家
tragedy,悲劇
productivity,生産性
honorable,名誉となる
unbelievable,信じられない
novelist,小説家
scar,傷跡になる
oar,オール
burglar,泥棒
racial,人種上の
torch,たいまつ
format,型
garbage,生ごみ
throne,王座
pope,ローマ教皇
bronze,青銅
sprinkle,雨がぱらつく
abandoned,見捨てられた
educator,教育者
disguise,本性を偽る
footstep,足音
roar,大声を発する
myth,作り事
imply,含蓄する
refresh,元気づける
victorious,勝利の
crucial,決定的な
satisfactory,満足な状態の
bracelet,腕輪
abundance,豊富さ(affluent)
trombone,トロンボーン
cereal,穀物の
symphony,シンフォニー
clover,【植物】クローバー
wit,知力
schoolteacher,先生
outlook,～をにらみつける 見晴らし
prosperous,繁栄している
publishing,出版する
accordingly,それゆえ
calf,【動物】子牛
confront,に立ち向かう
twilight,たそがれの
lounge,ぶらぶらと時を過ごす
nylon,ナイロン
unjust,不正な
dine,正餐をとる
civilian,一般市民の
dignity,尊厳
modify,修正する
indirect,まっすぐでない
hastily,あわてて
pillowcase,まくらカバー
password,パスワード
peer,じっと見る
disgrace,の両目を失わせる
liver,肝臓
broke,Breakの過去形
ridiculous,けしからぬ
privately,内々に
calculation,勘定
conceive,計画を思いつく
strengthen,強くする
pessimistic,悲観的な
federal,連邦政府の
imaginary,想像上の
stitch,縫う
concept,概念
lark,からかう
inspiration,うまい思い付き
relaxation,気晴らし
imaginative,想像力に富む
schoolmaster,男子教員
despise,軽蔑する
impatient,じっと我慢できない
idiot,まぬけ
conservative,(派?党などの)保守的な
dread,恐怖
toothache,歯痛
onward,前方へ
groan,うめく
forbidden,forbidの過去分詞形(forbid
shoemaker,くつ屋
volcano,火山
courageous,勇気のある
decided,明確な
misfortune,不運
blond,ブロンドの
devote,捧げる
hardness,堅いこと
generously,寛大に
moisture,水分
moist,湿気のある
convert,変換させる
dove,【動物】ハト
predict,～を予言する(予報)する
frightening,恐ろしい
technically,厳密な事実関係からして
dairy,酪農場
unacceptable,受け入れられない
separation,分離
accommodation,宿泊設備
rental,貸アパート
rudely,無作法に
uncover,脱帽する
shocking,衝撃的な
utterly,全く
coupon,クーポン
overflow,からあふれる
dwell,移住する
fertile,肥沃な
peel,～の皮をむく
liquor,溶液
pullover,プルオーバー
attain,達成する
killer,殺人鬼
acquisition,取得
cider,リンゴ酒
influential,影響を及ぼす
borrower,借手
recycle,再循環させる
headquarters,本部員
garment,衣服の一品
overhead,オーバーヘッド
civilization,文明
turtle,【動物】ウミガメ
halt,停止させる
capitalist,資本主義者
likewise,その上に
wireless,無線の
concentrated,濃縮された
currency,通貨
sparkle,きらめく
hug,抱擁
robbery,強奪
solitude,孤独
competitive,競争の
tempt,誘惑する
portray,表現する
dim,はっきりしない
distress,苦しめる
motorbike,オートバイ
stain,しみ
presently,まもなく
reservation,貸し切り 保留
inclined,したい気がする
belonging,属する
surfing,サーフィン
Thanksgiving,感謝祭
chorus,コーラス
rider,ライダー
arched,アーチのある
aggressive,積極的な
zebra,しまのある
fantastic,風変わりな
imitation,ものまね
clay,粘土
preference,好み
paste,糊で貼る ねり物
transform,変形させる
effectively,有効に
shed,小屋 落ちる
dinosaur,恐竜
patron,パトロン
accomplished,成就した[完了
suspicious,疑惑を起こさせる
bra,ブラジャー
acute,先のとがった
statesman,政治家
tease,いじめる
downward,下向きに
unwilling,気が進まない
romance,ロマンチックに考える
freeway,高速道路
undertake,引き受ける
disorder,無秩序
sparrow,【鳥】スズメ
flatter,にへつらう
recession,景気後退
presidential,大統領の
equality,等しいこと
laborer,労働者
pope,ローマ教皇
widow,未亡人
mathematical,数学的
soar,高く上がる
embarrass,問題をこじらせる
enlarge,範囲を広げる
typhoon,【気象】台風
plow,(農耕用の)すき
makeup,組み立て
footprint,足跡
conquest,占領地
housekeeper,家政婦
rosy,バラのような
refine,から不純物を除く
dresser,化粧ダンス
bent,傾向
awareness,気づいていること
urban,都会の
loosely,しまりがなく
inventor,発明者
terrorist,テロリスト
gum,ゴム糊で張付ける
contempt,軽べつ
decoration,装飾
ornament,装飾
outlet,(チェーンの)店
delightful,喜びを与える
veil,ベール
worldwide,世界的な(規模の)
exclude,締め出す
nonstop,ノンストップの
multiple,複合の
economist,エコノミスト
forced,無理に作った
viewpoint,見解
forehead,額(ひたい)
apparatus,器具一式
strap,縛る
divorce,と離婚する
conductor,案内人
interviewer,訪問記者
developed,発達した
respectable,品位のある
gear,道具
plural,複数の
auto,自動車
stylish,流行の
plead,(～を)弁護する
vacuum,真空
ounce,オンス
embarrassing,まごつかせる
belly,腹
prompt,機敏な
fruitful,たくさん実のなる
combat,～と闘う
pointer,助言
heir,相続人
sacred,神聖な
damn,駄目と判定する
oversleep,寝すごす
poll,選挙人名簿
darkly,暗く
stern,厳格な
originate,始める
proverb,ことわざ
bang,スリル
relieved,安心した
noticeable,注目に値する
commonly,一般に
dominant,そびえ立つ
restrict,禁止する
dye,染まる
bump,衝突
dying,死にかけている
executive,実行委員会
excessive,過度の
tighten,締める
commitment,取引契約
severely,厳しく
continuous,間断ない
hike,ハイキングをする
damp,じめじめした
stubborn,断固とした
isolated,孤立した
register,正式に記録する
zipper,ジッパー
thrilling,スリルに富んだ
flourish,みせびらかし
acquaint,知り合いになる
scary,おどろきやすい
candidate,～しそうな人
elementary,初歩の
exclaim,大声で言う
primarily,主として
breathing,呼吸
packaging,包装
remedy,医療
cease,中止する
accidental,偶然の
widespread,行き渡った
revolutionary,革命の
withdraw,取り消す
gown,ガウン
adventurer,冒険家
ivory,象牙製の
wholly,全体的に
assignment,割り当て
wartime,戦時(の)
margin,利ざや
thinker,思想家
revive,生き返らせる
illustrate,明らかにする
lick,なめる
breaker,こわす人
deprive,奪う
rocky,(打ちのめされて
feast,もてなす
reasonably,合理的に
elite,エリート(層)
stimulate,刺激する
perish,殺す
disappointed,失望した
evidently,明白に
massive,がっしりした
incredible,信用出来ない
