certificate,証明書
coverage,新聞報道
unsteady,不安定な
whereas,ところが
execute,芸術品を創作する
involvement,巻き込む
suppress,抑圧する
peep,のぞき見する
loosen,緩和する
perspective,遠近法の 見込み
lodging,に下宿する
render,(人にあることを)する
sporty,色鮮やかで格好のよい
cowardly,臆病な
marketplace,市の開かれる広場
activist,活動家
rebuild,再建する
insistence,強い主張
isolate,孤立させる
countless,無数の
cashier,現金出納係
representation,説明
usefulness,有用
massage,マッサージ
fleet,速く過ぎてゆく
milky,乳状の
cozy,こじんまりとした
inspection,検査
accountant,会計係
whiteness,白さ
grill,焼き網
qualification,資格
sharpness,鋭さ
campground,キャンプ場
interpretation,通訳
indifference,無頓着
glider,グライダー
refreshment,休養
justification,正当化
broom,ほうき
examiner,試験官
unselfish,無欲な
watchful,用心深い
ditch,溝に捨てる
forgiveness,容赦
oval,楕円
facsimile,ファクシミリ(で送る)
comprehend,理解する
exclusively,solely
cheaply,安く
scorn,軽蔑する
costly,費用のかかる
clearness,明るさ
disapprove,不可とする
gunman,武装犯人
persist,固執(主張)する
aluminum,アルミニウム
defensive,防御の
transformation,変形
voltage,電圧
craftsman,職人
ragged,ぼろ服を着た
hymn,賛美歌
resentment,憤慨
dropout,脱退(者)
funding,資金調達
teaspoon,茶さじ
shameful,恥ずべき
lining,線で模様を付ける
universally,広く
hateful,憎しみに満ちた
formula,公式
mining,鉱業
lever,レバー
secondhand,また聞きの
stack,積み重ね
sophisticated,(人が)上品な
technician,専門家
instrumental,役に立つ
registration,書き留め
timid,おくびょうな
voter,投票者
dime,10セント銀貨
cycling,自転車を乗り回すこと
hospitality,親切なもてなし
salute,～に敬礼する
magnetic,磁気の
flutter,羽ばたきする
athletics,アスレチック
inclination,傾斜
fortnight,2週間
naughty,行儀が悪い
foster,養い育てる
ideology,空想すること
stoop,かがむ
fowl,【鳥】ニワトリ
electron,電子
unmistakable,まちがいない
kit,道具一式
thankfully,感謝して
harden,がんこにする
fling,力を入れて言う
revise,訂正する
proficient,熟練した
shrine,聖体容器
curiously,物珍しそうに
couch,うずくまる
dental,歯の
overweight,超過重量
commodity,【経済】生活必需品
pedal,ペダル(の)
trash,破壊する
deepen,深める
backbone,中心
glitter,ぴかぴか光る
fucking,《俗語》強調◆damn
farmland,農地
noodle,ラーメン
immature,未熟な
diplomat,外交官
bodily,肉体の
pension,年金 年金を与える
unarmed,武器のない
inspiring,人を鼓舞する
caller,訪問者
Protestant,新教徒
masterpiece,傑作
handicap,身体(精神)上の障害
utilize,～を利用する
devoted,献身的な
pant,息を切らす
stagger,よろよろ歩く
overwork,過労
reasoning,推理
mutton,羊肉
script,筆記体活字
depressed,沈滞した
curse,呪う
warrant,令状
considerably,かなり
outbreak,勃発
starvation,薄給の
lumber,材木
noisily,やかましく
liner,裏を付けする人
condom,コンドーム
folly,愚かさ
airliner,大型旅客機
immortal,不死の
endeavor,～しようと努力する
thickness,厚さ
trusting,信用する
enormously,非常に
annoying,うるさい
gathering,集まること
provided,条件で
varied,変化のある
accidentally,偶然に
scramble,よじ登る
sideways,横の
highland,台地
unhappiness,不運
elaborate,精巧な
cupful,カップ1杯
donation,寄付
architectural,建築の
fireproof,耐火
planetarium,プラネタリウム
momentary,瞬間の
embarrassed,ばつの悪い(思いをする)
disclose,暴露する
applaud,拍手かっさいする
dissatisfy,満足させない
providing,
innovation,(技術)革新
intellect,知性
undress,の着物を脱がせる
classify,～を分類する
simplicity,単純
troublesome,迷惑な
economics,経済学
boldness,大胆さ
deficit,赤字
excursion,遠足
completion,完全さ
counselor,相談役
glimpse,ちらりと見えること
biography,一代記
insight,洞察力
originality,独創性
orphan,孤児[こじ]
conversational,会話の
assessment,評価
objection,反対
peacefully,平和に
murderer,人殺し
tremendous,ものすごい
librarian,図書館員
moderation,節度
restless,絶えず動いている
peck,つついてあける
asset,価値のあるもの
succession,連続(物)
impossibility,不可能
exporter,輸出業者
idiom,慣用語法
revenue,国税庁
valid,根拠のある
counterpart,よく似た物
choke,息が詰まる
spectacular,見ものの
controversy,論争
newscaster,ニュースキャスター
shutter,シャッター
fulfillment,充足感
valueless,無価値な
sect,教派
driveway,私用自動車道
combined,結合した
rape,強姦
speculation,投機
earnestly,まじめに
ingredient,内容物
disturbance,混乱
nobleman,貴族
loudspeaker,拡声器
embarrassment,当惑
competent,有能な
storyteller,物語を話す人
worldly,この世の
receptionist,受付係
motorway,自動車道路
queue,待ち行列
truthful,誠実な
betrayal,裏切り
summary,手短な
hesitation,ちゅうちょ
cue,手掛り
idleness,ぶらぶらしている
ace,第一人者
swamp,浸す
boom,とどろく音
sway,揺れる
restructure,編成し直す
commence,開始する
tortoise,【動物】(陸に住む)かめ
modestly,控え目に
navigation,航海学
alongside,のそばに
peculiarly,独特に
melting,溶ける
spacecraft,宇宙船
soak,浸る
rip,激流
loser,負け犬
umpire,審判を勤める
database,データベース
positively,もちろん
seminar,セミナー
plentiful,たくさんの
irregular,でこぼこの
incapable,ができない
offspring,子孫
insufficient,不適当な
inadequate,不適当な
physicist,物理学者
bargaining,取り引き
penniless,一文なしの
divine,神聖な
strait,海峡
assess,評価する
adequate,適した
prey,餌食にする
ratio,比例
drunken,酔った
conditional,条件付きの
ram,【動物】雄羊ラム
revolt,暴動(を起こす)
repose,静まり返っている
dedicated,打ち込んでいる
junk,がらくた
successor,後継者
orient,向かわせる
defender,防御者
admirable,感心な
classification,分類
fascinate,人の心を捕える
salaried,給料を受けている
cosmetic,表面的な 化粧品
stray,迷子
comparable,比較できるほどの
vicious,たちが悪い
brilliance,強い明るさ
mutter,つぶやき
courtesy,礼儀正しさ
disturbed,障害のある
compensation,補償
premise,～を前提とする
delicately,優美に
offender,(法律)違反者
overwhelm,圧倒する
rebellion,謀反
rainfall,【気象】雨量
whirl,回転
scope,範囲
Buddhist,仏教徒
stupidity,愚かな考え
Muslim,イスラム教徒(の)
nun,修道女
trivial,つまらない
cooperate,協同する
slogan,スローガン
slavery,奴隷状態
deliberately,ゆっくりと
villa,(大)別荘
terminal,死に至る
headlight,【車】ヘッドライト
terrace,段地
alphabetical,アルファベットの
surf,波乗りする
orchard,果樹園
indifferent,差別しない
resemblance,類似物
probability,ありそうな事柄
geometry,幾何学
liking,嗜好
gorgeous,華麗な
springtime,春(の)
blueprint,設計図
