amusing,おもしろい
accord,協定
lodge,泊まる
competitor,競争相手
suburb,郊外
cutting,割って入る
shocked,驚く
counter,カウンター
strain,～を緊張させる
parrot,【鳥】おうむ
resolve,(疑問などを)解決する
command,指揮
goddess,女神
recovery,立ち直り
civil,市民としての
accurate,正確な
inevitable,避けられない
cancer,【病名】がん
partial,一部分の
seal,【動】(動物)アザラシ
independence,独立心
exhibit,展覧する
spoonful,一さじ
electrical,電気に関する
chew,かむ
unlikely,ありそうもない
snap,パチンと音をさせる
childish,子供らしい
betray,味方を裏切る
warmly,熱心に
composer,作曲家
appetite,食欲
crawl,はう
imperial,荘厳なる
substance,要旨
triumph,大勝利
spiritual,精神的な
physician,医者
debate,論議する
nationality,国民性
priority,優先順位
marine,海の
shallow,浅い
windy,【気象】風の強い
merrily,楽しく
barely,かろうじて
extraordinary,異常な
award,与える
promote,進展させる
scenery,風景
messenger,使者
privilege,特権を与える 特権
resistance,電気抵抗 抵抗
grain,穀物
explosion,爆発
previously,以前は
aboard,船に乗って
opposition,反対
division,部分
stormy,荒れた
amaze,びっくりさせる
innocent,無垢な
session,立会い時間
shepherd,羊飼い
thousandth,第1
dot,点を打つ
summit,首脳(陣)
inherit,財産を相続する
tense,【文法】時制
starve,飢えさせる
sew,縫う
assert,断言する
readily,敏速に
publicly,公に
tension,緊張
definitely,きっぱりと
invest,投資する
persuade,～を確信させる
survey,調査する
commerce,商業
province,分野
peasant,いなか者
unite,結合する
tame,飼い慣らされた
vessel,容器
engage,忙しくさせる
judgment,判断
purely,純粋に
overall,全般的な
spark,火花を出す
farthest,(距離)最も遠い
lifeless,生物のいない
formerly,以前は
envy,うらやむ
bodyguard,ボディーガード
worn,wearの過去分詞形
bitterly,ひどく
diver,ダイバー
laughter,笑い(声)
endless,絶え間のない
rural,いなかの
scatter,ちりぢりになる
tender,差し向ける
actively,活発に
oxygen,酸素
landscape,美化する
campaign,キャンペーン
banking,横傾斜
rifle,ライフル銃
deed,行為
manufacture,製造(する)
scholarship,学問
conclusion,判決
crisis,難局
procedure,手続き
confess,白状する
laundry,洗濯
classical,古典文学の
bud,つぼみ
estimate,評価する
beam,梁
lying,横たわっている
related,関係のある
gesture,手ぶりすること
limb,手足
joyful,とてもうれしい
wildlife,(集合的)野生生物
thoroughly,すっかり
apparent,(目に)明らかな
welfare,福利厚生
magician,魔法使い
emphasize,強調する
yearly,年々の
kidnap,誘拐する
marble,おはじき
settlement,保険金の支払い
closet,人に知られていない
antique,古風の
quantity,量的な
latter,後者
satisfied,満足させた
wisdom,知恵
investment,包むこと
heavily,重く
enjoyment,楽しみ
identity,同一視する 個性
decline,減少
flavor,風味
episode,挿話
insult,侮辱する
replacement,もとにもどすこと
Christian,キリスト教徒
hunting,狩をする
wink,まばたきする
publication,発行
bamboo,竹
decade,10年間
extension,拡大部分
popularity,人気
dried,乾いた
convention,慣習
crystal,水晶の
emergency,非常事態
chemist,化学者
namely,すなわち(that is
helping,助力(の)
recording,レコーディング
construct,組み立てる
pursuit,従事
nasty,むかつくような
instance,例
fundamental,基礎の
explode,爆発させる
correctly,正しく
wilderness,荒野
collapse,壊れる
blend,(よく)混ぜ合わせる
porter,ポーター
kneel,跪く(ひざまずく)
postpone,延期する
humanity,人間であること
fried,
contribution,寄付金
compete,匹敵する
decay,衰えさせる
amateur,アマチュア
sponge,拭く
obviously,明らかに
digital,ディジタル
postal,郵便の
crossword,クロスワードパズル
aspect,状況
deadly,命にかかわるような
ax,axe
injured,傷つけられた
dam,せき止める
acting,代理の
bride,花嫁
concerning,～について
acquaintance,面識
humble,つつましやかな
attraction,余興
gay,ホモ
athletic,運動競技の
shelter,避難場所
appreciate,高く評価する
despair,絶望
lobby,ロビーに出入りする
alien,宇宙人
privacy,プライバシー
existing,生存する
razor,かみそり
amuse,楽しませる
lipstick,口紅
chef,コック
enormous,莫大な
rejoice,楽しませる
nearby,すぐ近くの
acceptance,受け取り
openly,公然と
guarantee,保証契約[書]
knowing,物知りの
amazing,驚くべき
manual,マニュアル
owl,【鳥】フクロウ
cement,つなぐもの
scarcely,がない
curiosity,珍しい存在
intent,一心に向けた
developing,発展途上の
cabin,キャビン
liar,うそをつく人
blush,紅潮させる
idle,遊んでいる
overseas,海外(向け)の
emotional,感情の
advertisement,広告
grasp,理解
machinery,機械類
spokesman,スポークスマン
depart,規則から逸脱する
surrender,降伏(する)
endure,に持ちこたえる
frost,つや消しにする
delicate,きゃしゃな
lace,ひもで縛る[締める]
bond,債券
dealer,ディーラー
relatively,比較的に
oily,油性の
enthusiasm,熱中させるもの
healing,(傷?病気を)治す
extend,伸ばす
prospect,見込み
beggar,物もらい
lifetime,生涯(の)
hesitate,躊躇する
rebel,謀反[反乱]を起こす
sponsor,後援する 保証人
remarkable,注目すべき
fatal,致命的な
deposit,預かり
briefcase,ブリーフケース
minority,未成年
technological,技術の
vice,悪徳
overlook,見過ごす
fasten,動物を囲いこむ
constant,変わらない
impressive,強い印象を与える
van,コンテナ
analyze,分析する
doorbell,戸口のベル
scout,スカウトする
unclear,はっきりしない
outdoors,戸外で
apricot,【植物】アプリコット
stake,くい
apparently,明らかに
creep,忍び寄る
notion,心に思うこと
cottage,別荘
greedy,どん欲な
engagement,婚約
concentrate,精神を集中する
visible,明白な
ban,禁止する 禁止
poisonous,毒のある
origin,起源
regarding,に関しては
sword,武力
bonus,特別に支給されるもの
retired,引退した
behavior,運動
frequently,しばしば
agricultural,農業の
dive,飛び込む
tide,潮
finding,発見
emerge,浮かび出る
engaged,婚約中の
proportion,比率
restrain,抑制する
weed,《俗語》マリファナ
determination,決心
echo,こだま
charm,うっとりさせる
coward,臆病者
wander,さまよう
version,見解
horseback,馬の背
generous,気前の良い
chess,チェス
boundary,境
frequent,しばしば起こる
await,《文語》待つ
searching,鋭い
breakdown,突然の故障
meadow,草地
pavement,舗装道路
institute,会
leap,ぴょんと飛ぶ
cute,気のきいた
yawn,あくびをする
curious,好奇心の強い
timely,適時の
whisper,ささやく
electrician,電気技術者
muddy,どろだらけの
anchor,錨
sin,罪(を犯す)
youthful,若い
radical,徹底的な
via,～を経て
electronic,電子の
cheerleader,チアリーダー
layer,置く
severe,厳しい
guilt,有罪
token,印
vanish,消える
telling,手ごたえのある
scratch,スクラッチする
define,本質を明らかにする
confident,確信している
instruct,知らせる
mill,ひきうす
amusement,楽しみ
restore,健康を取り戻す
northeast,北東部
scheme,仕組み
mighty,大きい
meanwhile,ところで
booklet,パンフレット
cattle,【動物】ウシ
essentially,本質的に
salty,辛らつな
blossom,花が咲く
ginger,ジンジャ
frankly,率直に
blade,タービン翼
catalog,《米》カタログ
trainer,訓練者
vanilla,バニラ
mutual,互いの
convinced,確信している
potential,可能性のある
regularly,規則正しく
treaty,再保険特約
multiply,増す
deceive,だます
internal,本質的な
discipline,訓練する
undoubtedly,疑いなく
fiction,想像
residence,邸宅
hood,ずきん
tutor,家庭教師
nursing,看護
quit,去る
context,前後関係
retain,実行しつづける
abuse,悪口を言う
fate,巡り合わせ
brandy,ブランデー
glow,ここちよい満足
kindergarten,幼稚園
rage,激しい怒り
unfortunately,あいにく
buyer,買い手
planner,立案者
lifelong,一生の
resource,救助の源
associate,社員
ass,ロバ
extent,物の広がり
passive,消極的な
dressing,ドレッシング
worthy,値する
pressing,さし迫った
enclose,同封する
frontier,フロンティア
panic,パニック
obtain,獲得する
willingly,快く
status,地位
camel,【動物】ラクダ
smash,スマッシュ
hiding,隠すこと
honesty,誠実
resident,居住する
gangster,悪党
annual,例年の
verse,一節
gallery,天井桟敷
rear,背面
necessarily,必ずしも(～でない)
poverty,貧乏
injure,傷つける
impose,～の義務を負わす
conclude,推論する
enable,に可能性を与える
purchase,仕入れる
current,流行する
nowadays,このごろは
pursue,従事する
filter,フィルター
normally,習慣に従って
eve,前夜Eve 【聖書】イブ
obedient,従順な
voyage,航海(する)
excess,超過
skier,スキーヤー
stable,安定した
sooner,よりはやく
outer,外の
accessory,アクセサリー
luxury,豪奢な
nuclear,【生物】核の
guidance,手引き
apology,弁解
maid,少女
commission,委託手数料
ignorant,無知から起こる
blessing,ありがたい
faithful,義務を遂行する 忠実な
budget,予算
weave,織る
precise,堅苦しい
slipper,スリッパ(かかとの付いた靴
thorough,充分な
heroic,おおげさな
contrast,正反対のもの
grandparent,祖父母
adapt,適合させる
clip,切り取る
cultural,文化的な
unkind,不親切な
upward,上向きの
adjust,～に順応する
prolong,長くする
cabinet,キャビネット
alter,変更する
ox,【動物】雄牛
consciousness,自覚
drinker,酒飲み
repay,払いもどす
southeast,南東
underline,下線を引く
dessert,デザート
gardener,植木屋
launch,出発 進水させる
repeated,繰り返された
justify,正しいとする
paragraph,節にわける
mess,乱雑
council,評議会
destruction,破壊
magnet,磁石
mayor,市長
primary,大統領予備選挙
reception,歓迎会
temptation,誘惑
reference,問い合わせ
colony,植民地
miracle,奇跡
atmosphere,環境
recall,思い出させる
pine,【植物】松(の木)
cord,コード
thirst,渇き
briefly,ちょっと
invade,侵入する
scholar,学者
column,特別記事
medium,媒体
disadvantage,不都合
logic,ロジック
compound,混合する
gradual,(勾配が)ゆるやかな
evident,明らかな
misunderstand,誤解する
cave,横穴を掘る
glory,繁栄
pioneer,開発者
conventional,習慣にとらわれた
tribe,部族
historical,史実に基づく
tractor,トラクター
approval,認可
mist,【気象】霧
criticize,非難する
incident,起こりやすい
weaken,弱める
acid,酸っぱい
beloved,最愛の
pit,くぼみ
ache,痛む
log,測程器
rescue,不法奪回
formation,形成
fort,とりで
sleeve,そで
asking,尋ねること
chemistry,化学
fame,名声
accomplish,成し遂げる
tomb,墓
pitch,投げる
confession,自白
indicate,の印である
significant,意義深い
requirement,要求されるもの
recognition,認めること
region,領域
flee,消え失せる
uncertain,変りやすい
external,外部にある
yield,生産する
harsh,どぎつい
republic,共和政体
code,おきて
making,製造
flesh,激励する
disagree,意見を異にする
misery,不幸
legislation,法律制定
prosperity,繁栄
preserve,維持する
dusty,ほこりだらけの
cheat,だます
restraint,妨げとなるもの
factor,仲買人
intense,激しい
descend,数が少なくなる
portion,一人前
automatically,自動的に
conflict,衝突する
breeze,すいすい行く
gamble,投機をやる
editor,編集者
hidden,hideの過去分詞形
hatred,憎しみ
keeper,守る人
drag,引きずる
differ,意見が異なる
cock,おんどり
warmth,思いやり
artistic,美術家の
southwest,南西(部)
spite,悪意
scandal,スキャンダル
brass,真鍮
seize,つかまえる
resemble,に生き写しである
knight,勲爵士
crossing,線引き
originally,独創的に
beaver,【動物】ビーバー
handful,ひと握りの量
resolution,決議案
illegal,非合法的な
negotiation,交渉
dumb,(物事が)馬鹿げた おしの
cosmos,(the ～)宇宙 完全体系
involve,人を巻き込む
category,カテゴリー
interpreter,インタプリーター
maintenance,メンテ(ナンス)
receiver,受取人
appropriate,適切な
exhibition,見せること
detective,探偵の
admiration,賞賛
secretly,秘密に
agriculture,農業
era,年代
outline,の輪郭を描く
reduction,零落
circuit,回路
newly,新たに
limited,制限された
fallen,fallの過去分詞形(fall
occasionally,たまに
software,ソフトウエア
locate,の場所を見つける
whip,むちで打つ
literary,文学に通じた
squeeze,締めつける
resolve,(疑問などを)解決する
gulf,湾
mend,直す
anxiety,心配
site,用地
characteristic,特質
venture,冒険(性)
elderly,中年を過ぎた
alternative,二者択一の
favorable,好意ある
enterprise,進取の気性
urge,駆り立てる
advanced,進んだ(む)
freely,大っぴらに
perceive,～を知覚する
splendid,輝かしい
concentration,集中
commit,
boiler,ボイラー
faint,気絶する
declare,宣言する
destination,目的地
logical,道理にかなった
criticism,批評
cardigan,カーディガン
organize,組織化する
liberal,物惜しみしない
reverse,反対にする
initial,頭文字 頭文字で署名する
digest,要約
stare,じっと見つめる(こと)
hollow,くぼんだ
enjoyable,楽しい
investigate,調査する
preach,説教する
promotion,プロモーション
achievement,達成
globe,地球儀
hanging,つるすこと
salmon,【魚】サケ
aquarium,水族館
convince,納得させる
harvest,収穫する
stir,かき混ぜる
overcome,打ち勝つ
acre,エーカー
bleed,重傷を負う
fitting,妥当な
trail,跡をつける
heater,【車】ヒーター
comparison,比較
spill,こぼすこと こぼれる
extreme,極端な
species,人類
sting,(を針で)(～を針で)刺す
complicated,複雑にする
surrounding,周辺地域
shield,かばう
journalism,ジャーナリズム
ancestor,祖先
sympathetic,思いやりのある
circumstance,ものものしさ
occupation,占有
ambition,功名心
craft,クラフト
knot,結び目
chill,寒気(さむけ)
parliament,議会
cruelty,残酷
doorway,戸口
grief,深い悲しみ
sorrow,悲しみ
dynamic,動力の
crow,【鳥】からす
haste,あわてること
desirable,魅力がある
honestly,いやはや
chosen,chooseの過去分詞形
steamer,蒸し器
tidy,こぎれいな
territory,販売区域
empire,帝国
occasional,時々の
strangely,異様に
panic,パニック
invention,発明品
mechanical,機械的な
rewrite,書き直す
fold,n. 折りたたみ
sector,産業部門
celery,【植物】セロリ
ancient,古い
holding,続く
discourage,に勇気を失わせる
sacrifice,いけにえにする
assume,身につける
honeymoon,ハネムーン
bolt,ボルト
revenge,の復讐をする
personally,個人的に
pronounce,を発音する
shortage,数量の不足
existence,生存物
poster,ポスター
oasis,オアシス
expand,大きく膨らませる
scare,こわがらせる
marked,【文法】有標の
inn,宿屋
definite,限定した
packet,小包
marvelous,驚嘆すべき
emperor,天皇
fade,衰えさせる
plot,地区
component,構成している
fist,こぶし
focus,ピント
abstract,理論的な
solution,(問題?疑問などの)解決(策)
farming,農業の
wicked,悪い
gross,気持ち悪い
outstanding,抜きんでている
acquire,手に入れる
northwest,北西部の
comedy,喜劇
homeless,家のない
encounter,に遭遇する
variation,変化
calculate,計算する
panel,はめ板
contest,コンクール
efficient,能率的な
eventually,結局のところ
awfully,非常に
translation,翻訳
modest,謙そんな
absolutely,絶対的に
triple,3倍の
secondary,二流の
entry,入場
guidebook,案内書
draft,草案
trace,跡
billion,莫大な
corporation,社団法人
affection,感情
ruling,支配する
admission,入場
shift,変化
goodness,よいところ
treatment,取り扱い
linen,亜麻布
representative,代表する
worrying,厄介な
emphasis,強調
youngster,若者
nap,ちょっと眠る
thrill,ぞくぞくする
web,織物
adjustment,修正
scared,おびえた
spectacle,見世物
thickly,濃く
distinguish,目立たせる
recommendation,推薦状
involved,含んだ(む)
departure,新機軸
accuse,【法】告発する
dragon,竜(翼
parallel,平行の
mature,成熟した
fearful,恐ろしい
profitable,有益な
interfere,に干渉する
intellectual,知的な
county,(米国の)郡
monument,記念碑
unnecessary,不必要な
congress,年次総会
tendency,傾向
container,容器
possession,所有
hockey,ホッケー
inspire,に霊感を与える
disaster,天災
basin,洗面台
impulse,心のはずみ
obey,服従する
capable,手腕のある
stall,畜舎に入れておく
slim,ほんのわずかな
skillful,じょうずな
snack,軽食をとる
magical,魔法の
establishment,設立
combine,結合する
penalty,違約金
despite,…にもかかわらず
darling,いとしい人
output,出した物
distinct,明確な
bother,面倒
ash,灰ASH
strip,取り除く
drift,漂流する
coach,大型四輪馬車
bloody,血なまぐさい
striking,めざましい
miserable,悲惨な
berry,ベリー
reputation,名声
enthusiastic,熱心な
concerned,心配そうな
ashtray,灰皿
aged,老いた
expectation,期待されるもの
distribute,配送する
association,連想
madness,狂気
conference,運賃同盟
hillside,丘の中腹
rattle,がらがら言う音
acceptable,受けいれられる
clap,拍手する
founder,倒れさせる
invisible,目に見えない
estate,財産
sensation,興奮
chiefly,とりわけ
jewelry,宝石類
delivery,配達(物)
outcome,結果
skip,(授業を)さぼる
cooperation,協力
mast,マスト
harmful,害をおよぼす
administration,政治
conquer,奪取する
illustration,説明図
learner,学習者
detailed,詳細にわたる
corporate,共同の
finishing,仕上げの
strongly,頑丈に
terror,(非常な)恐怖
constitution,憲法 制定
mere,単なる
demonstrate,示威運動する
assure,確実にする
strictly,厳密に(言えば)
philosophy,哲学
mistress,女主人
critical,評論[批評]の 危機の
measurement,測量
absorb,吸収する
pollution,公害
constantly,絶えず
expose,～を危険にさらす
millionaire,百万長者
hostess,女主人(役)
scold,叱る(rebuke)
hop,ぴょんぴょん飛ぶ
determined,決心した
